准确性权重,连续等待权重,不稳定权重,胜出方案,最小综合风险
0.03,0.52,0.44999999999999996,16/18,0.15516347949537188
0.03,0.53,0.43999999999999995,16/18,0.1569845602872392
0.03,0.54,0.42999999999999994,16/18,0.1588056410791065
0.03,0.55,0.41999999999999993,16/18,0.16062672187097382
0.03,0.56,0.4099999999999999,16/18,0.16244780266284112
0.03,0.5700000000000001,0.3999999999999999,16/18,0.16426888345470844
0.03,0.58,0.39,16/18,0.1660899642465757
0.03,0.59,0.38,16/18,0.167911045038443
0.03,0.6,0.37,16/18,0.16973212583031033
0.03,0.61,0.36,16/18,0.17155320662217766
0.03,0.62,0.35,16/18,0.17337428741404495
0.03,0.63,0.33999999999999997,16/18,0.17519536820591228
0.03,0.64,0.32999999999999996,15/18,0.17693081844678102
0.03,0.65,0.31999999999999995,15/18,0.1770767253488677
0.03,0.66,0.30999999999999994,15/18,0.17722263225095436
0.03,0.67,0.29999999999999993,15/18,0.17736853915304104
0.03,0.68,0.2899999999999999,15/18,0.1775144460551277
0.03,0.6900000000000001,0.2799999999999999,15/18,0.17766035295721438
0.03,0.7000000000000001,0.2699999999999999,15/18,0.17780625985930107
0.03,0.71,0.26,15/18,0.17795216676138775
0.03,0.72,0.25,15/18,0.1780980736634744
0.03,0.73,0.24,15/18,0.1782439805655611
0.03,0.74,0.22999999999999998,15/18,0.17838988746764775
0.03,0.75,0.21999999999999997,15/18,0.17853579436973444
0.03,0.76,0.20999999999999996,15/18,0.17868170127182115
0.03,0.77,0.19999999999999996,15/18,0.1788276081739078
0.03,0.78,0.18999999999999995,15/18,0.1789735150759945
0.03,0.79,0.17999999999999994,15/18,0.17911942197808114
0.03,0.8,0.16999999999999993,15/18,0.17926532888016783
0.03,0.81,0.15999999999999992,15/18,0.17941123578225449
0.03,0.8200000000000001,0.1499999999999999,15/18,0.1795571426843412
0.03,0.8300000000000001,0.1399999999999999,15/18,0.17970304958642785
0.03,0.84,0.13,15/18,0.17984895648851454
0.03,0.85,0.12,15/18,0.17999486339060122
0.03,0.86,0.10999999999999999,15/18,0.18014077029268788
0.03,0.87,0.09999999999999998,15/18,0.18028667719477456
0.03,0.88,0.08999999999999997,15/18,0.18043258409686125
0.03,0.89,0.07999999999999996,15/18,0.18057849099894793
0.03,0.9,0.06999999999999995,15/18,0.1807243979010346
0.03,0.91,0.05999999999999994,15/18,0.18087030480312127
0.03,0.92,0.04999999999999993,15/18,0.18101621170520793
0.03,0.93,0.039999999999999925,15/18,0.18116211860729464
0.03,0.9400000000000001,0.029999999999999916,15/18,0.18130802550938133
0.03,0.9500000000000001,0.019999999999999907,15/18,0.18145393241146798
0.03,0.96,0.010000000000000009,15/18,0.18159983931355467
0.03,0.97,0.0,15/18,0.18174574621564132
0.04,0.0,0.96,18/22,0.001781502841738476
0.04,0.01,0.95,18/22,0.005909378711187379
0.04,0.02,0.94,18/22,0.010037254580636283
0.04,0.03,0.9299999999999999,18/22,0.014165130450085186
0.04,0.04,0.9199999999999999,18/22,0.018293006319534087
0.04,0.05,0.9099999999999999,18/22,0.022420882188982992
0.04,0.06,0.8999999999999999,18/22,0.026548758058431893
0.04,0.07,0.8899999999999999,18/22,0.030676633927880798
0.04,0.08,0.88,18/22,0.0348045097973297
0.04,0.09,0.87,18/22,0.038932385666778604
0.04,0.1,0.86,18/22,0.04306026153622751
0.04,0.11,0.85,18/22,0.04718813740567641
0.04,0.12,0.84,18/22,0.05131601327512531
0.04,0.13,0.83,18/22,0.05544388914457422
0.04,0.14,0.82,18/22,0.05957176501402312
0.04,0.15,0.8099999999999999,18/22,0.06369964088347202
0.04,0.16,0.7999999999999999,18/22,0.06782751675292092
0.04,0.17,0.7899999999999999,18/22,0.07195539262236983
0.04,0.18,0.78,18/22,0.07608326849181873
0.04,0.19,0.77,18/22,0.08021114436126764
0.04,0.2,0.76,18/22,0.08433902023071654
0.04,0.21,0.75,18/22,0.08846689610016543
0.04,0.22,0.74,18/22,0.09259477196961434
0.04,0.23,0.73,18/22,0.09672264783906326
0.04,0.24,0.72,18/22,0.10085052370851215
0.04,0.25,0.71,18/22,0.10497839957796105
0.04,0.26,0.7,16/18,0.10797113834624582
0.04,0.27,0.69,16/18,0.10979221913811313
0.04,0.28,0.6799999999999999,16/18,0.11161329992998045
0.04,0.29,0.6699999999999999,16/18,0.11343438072184772
0.04,0.3,0.6599999999999999,16/18,0.11525546151371505
0.04,0.31,0.6499999999999999,16/18,0.11707654230558236
