repeat,target,metric,value
6,z3_T18,precision,0.0
6,z3_T18,f2,0.0
6,z3_T18,pr_auc,0.05955103762787768
6,z3_T18,roc_auc,0.4932432432432432
6,z3_T18,brier,
6,z3_T21,sensitivity,0.0
6,z3_T21,specificity,0.9948275862068966
6,z3_T21,precision,0.0
6,z3_T21,f2,0.0
6,z3_T21,pr_auc,0.018073304215713376
6,z3_T21,roc_auc,0.5201149425287356
6,z3_T21,brier,
7,T13,sensitivity,0.7916666666666666
7,T13,specificity,0.3128205128205128
7,T13,precision,0.04513064133016627
7,T13,f2,0.18375241779497098
7,T13,pr_auc,0.08680329362577405
7,T13,roc_auc,0.6378917378917378
7,T13,brier,0.037776073370826835
7,T18,sensitivity,0.8301886792452831
7,T18,specificity,0.5305755395683454
7,T18,precision,0.14426229508196722
7,T18,f2,0.425531914893617
7,T18,pr_auc,0.3821203850183791
7,T18,roc_auc,0.7703441020768291
7,T18,brier,0.0680550845230458
7,T21,sensitivity,0.8461538461538461
7,T21,specificity,0.2936241610738255
7,T21,precision,0.02546296296296296
7,T21,f2,0.11363636363636363
7,T21,pr_auc,0.03916615902102276
7,T21,roc_auc,0.5025813113061436
7,T21,brier,0.02088662893223192
7,any,sensitivity,0.7945205479452054
7,any,specificity,0.42350746268656714
7,any,precision,0.15803814713896458
7,any,f2,0.4400606980273141
7,any,pr_auc,0.42498558759473737
7,any,roc_auc,0.7317266407687589
7,any,brier,0.09026011909560054
7,z3_T13,sensitivity,0.0
7,z3_T13,specificity,0.9709401709401709
7,z3_T13,precision,0.0
7,z3_T13,f2,0.0
7,z3_T13,pr_auc,0.03732969827352767
7,z3_T13,roc_auc,0.4600427350427351
7,z3_T13,brier,
7,z3_T18,sensitivity,0.0
7,z3_T18,specificity,0.9406474820143885
7,z3_T18,precision,0.0
7,z3_T18,f2,0.0
7,z3_T18,pr_auc,0.08988694068942622
7,z3_T18,roc_auc,0.5117415501561016
7,z3_T18,brier,
7,z3_T21,sensitivity,0.0
7,z3_T21,specificity,0.9983221476510067
7,z3_T21,precision,0.0
7,z3_T21,f2,0.0
7,z3_T21,pr_auc,0.050229684045613995
7,z3_T21,roc_auc,0.5314919979349509
7,z3_T21,brier,
8,T13,sensitivity,1.0
8,T13,specificity,0.2876949740034662
8,T13,precision,0.044186046511627906
8,T13,f2,0.18774703557312253
8,T13,pr_auc,0.12007400723697614
8,T13,roc_auc,0.7740581957493387
8,T13,brier,0.030512018165521338
8,T18,sensitivity,0.95
8,T18,specificity,0.4784172661870504
8,T18,precision,0.11585365853658537
8,T18,f2,0.38934426229508196
8,T18,pr_auc,0.3812080277847877
8,T18,roc_auc,0.8607464028776978
8,T18,brier,0.052151887016731215
8,T21,sensitivity,0.7857142857142857
8,T21,specificity,0.3127147766323024
8,T21,precision,0.0267639902676399
8,T21,f2,0.11777301927194861
8,T21,pr_auc,0.030348608182784197
8,T21,roc_auc,0.5089592538046146
8,T21,brier,0.02295182794723944
8,any,sensitivity,0.8870967741935484
8,any,specificity,0.36891385767790263
8,any,precision,0.14030612244897958
8,any,f2,0.4296875
8,any,pr_auc,0.4860191022060133
8,any,roc_auc,0.8248157545004229
8,any,brier,0.0760506591435162
8,z3_T13,sensitivity,0.0
8,z3_T13,specificity,0.9566724436741768
8,z3_T13,precision,0.0
8,z3_T13,f2,0.0
8,z3_T13,pr_auc,0.0343789643407891
8,z3_T13,roc_auc,0.43838365410927665
8,z3_T13,brier,
8,z3_T18,sensitivity,0.0
8,z3_T18,specificity,0.9298561151079137
8,z3_T18,precision,0.0
8,z3_T18,f2,0.0
8,z3_T18,pr_auc,0.057007395881711206
8,z3_T18,roc_auc,0.4200089928057553
8,z3_T18,brier,
8,z3_T21,sensitivity,0.0
8,z3_T21,specificity,0.9965635738831615
8,z3_T21,precision,0.0
8,z3_T21,f2,0.0
8,z3_T21,pr_auc,0.025283611559529774
8,z3_T21,roc_auc,0.4502945508100147
8,z3_T21,brier,
9,T13,sensitivity,0.8620689655172413
9,T13,specificity,0.27964601769911507
9,T13,precision,0.05787037037037037
9,T13,f2,0.2281021897810219
9,T13,pr_auc,0.1305109481479689
9,T13,roc_auc,0.693500152578578
9,T13,brier,0.04540658915925358
9,T18,sensitivity,0.8823529411764706
9,T18,specificity,0.5119705340699816
9,T18,precision,0.14516129032258066
9,T18,f2,0.4377431906614786
9,T18,pr_auc,0.32744769972749854
9,T18,roc_auc,0.8091214386307009
9,T18,brier,0.0678501588269997
9,T21,sensitivity,0.7058823529411765
9,T21,specificity,0.2807625649913345
9,T21,precision,0.02810304449648712
9,T21,f2,0.12121212121212122
9,T21,pr_auc,0.14485243038603857
9,T21,roc_auc,0.5399123254154348
9,T21,brier,0.027813770632594065
9,any,sensitivity,0.9078947368421053
9,any,specificity,0.3996138996138996
9,any,precision,0.18157894736842106
9,any,f2,0.5043859649122807
9,any,pr_auc,0.4794118362274591
9,any,roc_auc,0.7975259093680146
9,any,brier,0.09191002070234505
9,z3_T13,sensitivity,0.0
9,z3_T13,specificity,0.9752212389380531
9,z3_T13,precision,0.0
9,z3_T13,f2,0.0
9,z3_T13,pr_auc,0.04834492659137027
9,z3_T13,roc_auc,0.48947207812023186
9,z3_T13,brier,
9,z3_T18,sensitivity,0.0
9,z3_T18,specificity,0.9465930018416207
9,z3_T18,precision,0.0
9,z3_T18,f2,0.0
9,z3_T18,pr_auc,0.09030301931565632
9,z3_T18,roc_auc,0.5112483299028636
9,z3_T18,brier,
9,z3_T21,sensitivity,0.0
9,z3_T21,specificity,0.9930675909878682
9,z3_T21,precision,0.0
9,z3_T21,f2,0.0
9,z3_T21,pr_auc,0.05036609770511302
9,z3_T21,roc_auc,0.5327760220205934
9,z3_T21,brier,
10,T13,sensitivity,0.8636363636363636
10,T13,specificity,0.25894378194207834
10,T13,precision,0.04185022026431718
10,T13,f2,0.1752767527675277
10,T13,pr_auc,0.1119876259564592
10,T13,roc_auc,0.7357131794951216
10,T13,brier,0.03410200035521238
10,T18,sensitivity,0.8181818181818182
10,T18,specificity,0.4657039711191336
10,T18,precision,0.13196480938416422
10,T18,f2,0.40106951871657753
10,T18,pr_auc,0.35405676456418333
10,T18,roc_auc,0.7354775188710206
10,T18,brier,0.07302759714188092
10,T21,sensitivity,0.8
10,T21,specificity,0.3088480801335559
10,T21,precision,0.018957345971563982
10,T21,f2,0.08658008658008658
10,T21,pr_auc,0.03196792165645271
10,T21,roc_auc,0.4617696160267112
10,T21,brier,0.016210664143210696
10,any,sensitivity,0.875
10,any,specificity,0.3538175046554935
10,any,precision,0.15365853658536585
10,any,f2,0.4512893982808023
10,any,pr_auc,0.39172006922068203
10,any,roc_auc,0.7473877508793709
10,any,brier,0.09192564219414141
10,z3_T13,sensitivity,0.0
10,z3_T13,specificity,0.9778534923339012
10,z3_T13,precision,0.0
10,z3_T13,f2,0.0
10,z3_T13,pr_auc,0.03884689852368131
10,z3_T13,roc_auc,0.4923339011925043
10,z3_T13,brier,
10,z3_T18,sensitivity,0.0
10,z3_T18,specificity,0.9657039711191335
10,z3_T18,precision,0.0
10,z3_T18,f2,0.0
10,z3_T18,pr_auc,0.10079796197189785
10,z3_T18,roc_auc,0.5323268788972759
10,z3_T18,brier,
10,z3_T21,sensitivity,0.0
10,z3_T21,specificity,0.998330550918197
10,z3_T21,precision,0.0
10,z3_T21,f2,0.0
10,z3_T21,pr_auc,0.04552614532418391
10,z3_T21,roc_auc,0.643906510851419
10,z3_T21,brier,
11,T13,sensitivity,0.8846153846153846
11,T13,specificity,0.3106312292358804
11,T13,precision,0.05251141552511415
11,T13,f2,0.21217712177121772
11,T13,pr_auc,0.20981919278467906
11,T13,roc_auc,0.7753641707130079
11,T13,brier,0.03697799818006271
11,T18,sensitivity,0.8235294117647058
11,T18,specificity,0.5337954939341422
11,T18,precision,0.13504823151125403
11,T18,f2,0.4077669902912621
11,T18,pr_auc,0.4332289631659335
11,T18,roc_auc,0.7603221531246813
11,T18,brier,0.06272006552557738
11,T21,sensitivity,0.7857142857142857
11,T21,specificity,0.3306188925081433
11,T21,precision,0.026066350710900472
11,T21,f2,0.11506276150627615
11,T21,pr_auc,0.0300804608556326
11,T21,roc_auc,0.48150302466263367
11,T21,brier,0.021842168835982147
11,any,sensitivity,0.7916666666666666
11,any,specificity,0.4226618705035971
11,any,precision,0.15079365079365079
11,any,f2,0.42792792792792794
11,any,pr_auc,0.4109610249536163
11,any,roc_auc,0.7157024380495605
11,any,brier,0.08976204222716513
11,z3_T13,sensitivity,0.11538461538461539
11,z3_T13,specificity,0.9601328903654485
11,z3_T13,precision,0.1111111111111111
11,z3_T13,f2,0.11450381679389313
11,z3_T13,pr_auc,0.065059618332297
11,z3_T13,roc_auc,0.46511627906976744
11,z3_T13,brier,
11,z3_T18,sensitivity,0.0
11,z3_T18,specificity,0.92894280762565
11,z3_T18,precision,0.0
11,z3_T18,f2,0.0
11,z3_T18,pr_auc,0.08052494071433652
11,z3_T18,roc_auc,0.4761613484215177
11,z3_T18,brier,
11,z3_T21,sensitivity,0.0
11,z3_T21,specificity,0.996742671009772
11,z3_T21,precision,0.0
11,z3_T21,f2,0.0
11,z3_T21,pr_auc,0.02490885455121574
11,z3_T21,roc_auc,0.4749883666821778
11,z3_T21,brier,
12,T13,sensitivity,0.8928571428571429
12,T13,specificity,0.3222416812609457
12,T13,precision,0.06067961165048544
12,T13,f2,0.2385496183206107
12,T13,pr_auc,0.19627884356025121
12,T13,roc_auc,0.7891543657743307
12,T13,brier,0.04233172060110514
12,T18,sensitivity,0.9318181818181818
12,T18,specificity,0.527927927927928
12,T18,precision,0.1353135313531353
12,T18,f2,0.4279749478079332
12,T18,pr_auc,0.43680575217749756
12,T18,roc_auc,0.8246519246519246
12,T18,brier,0.05562570296749007
12,T21,sensitivity,0.9
12,T21,specificity,0.3229706390328152
12,T21,precision,0.04390243902439024
12,T21,f2,0.1836734693877551
12,T21,pr_auc,0.06912128467015755
12,T21,roc_auc,0.5532815198618307
12,T21,brier,0.03240389712273267
12,any,sensitivity,0.8493150684931506
12,any,specificity,0.41634980988593157
12,any,precision,0.16802168021680217
12,any,f2,0.4689863842662632
