outer_fold,label,method,threshold,uncertainty_delta,threshold_mode,platt_used,candidate,train_weight_min,train_weight_max,n,positive,tp,fp,tn,fn,sensitivity,specificity,precision,f2,roc_auc,pr_auc,brier
1,T18,z_fixed_3,3.0,,fixed,False,abs_z,,,151,12,0,9,130,12,0.0,0.935251798561151,0.0,0.0,0.592925659472422,0.10037060591484825,
1,T21,xgboost,0.01916672774317301,0.00024767293238708507,sensitivity_constrained,True,C_slow,0.4544544544544544,67.41074407741074,151,4,3,100,47,1,0.75,0.3197278911564626,0.02912621359223301,0.12605042016806722,0.5527210884353742,0.03673079688502467,0.025834079754411394
1,T21,z_tuned,0.33576570650000004,,sensitivity_constrained,False,abs_z,,,151,4,3,110,37,1,0.75,0.25170068027210885,0.02654867256637168,0.11627906976744186,0.41156462585034015,0.027044867277425416,
1,T21,z_fixed_3,3.0,,fixed,False,abs_z,,,151,4,0,0,147,4,0.0,1.0,0.0,0.0,0.41156462585034015,0.027044867277425416,
1,any,xgboost,0.07660515771158066,0.013698479542861464,sensitivity_constrained,True,probability_union,0.4544544544544544,34.59534534534535,151,19,15,61,71,4,0.7894736842105263,0.5378787878787878,0.19736842105263158,0.4934210526315789,0.7452153110047847,0.4231970902812291,0.09506301493659954
2,T13,xgboost,0.024241020078078532,0.002255340422789319,sensitivity_constrained,True,B_conservative,0.45858585858585854,99.97171717171716,151,5,5,95,51,0,1.0,0.3493150684931507,0.05,0.20833333333333334,0.7410958904109589,0.08913489397251996,0.03150721382512152
2,T13,z_tuned,0.15475224250000003,,sensitivity_constrained,False,abs_z,,,151,5,5,135,11,0,1.0,0.07534246575342465,0.03571428571428571,0.15625,0.4739726027397261,0.03615388419126737,
2,T13,z_fixed_3,3.0,,fixed,False,abs_z,,,151,5,0,3,143,5,0.0,0.9794520547945206,0.0,0.0,0.4739726027397261,0.03615388419126737,
2,T18,xgboost,0.046811040049270385,0.0060780755888325474,sensitivity_constrained,True,C_slow,0.45858585858585854,49.40935064935065,151,11,11,83,57,0,1.0,0.40714285714285714,0.11702127659574468,0.39855072463768115,0.8850649350649351,0.4040026900958875,0.05530486480520598
2,T18,z_tuned,0.200508862,,sensitivity_constrained,False,abs_z,,,151,11,10,122,18,1,0.9090909090909091,0.12857142857142856,0.07575757575757576,0.2840909090909091,0.5727272727272728,0.10076627551554763,
2,T18,z_fixed_3,3.0,,fixed,False,abs_z,,,151,11,0,7,133,11,0.0,0.95,0.0,0.0,0.5727272727272728,0.10076627551554763,
2,T21,xgboost,0.015584446911411276,0.0013382737172507545,sensitivity_constrained,True,B_conservative,0.45858585858585854,61.08363636363636,151,3,3,138,10,0,1.0,0.06756756756756757,0.02127659574468085,0.09803921568627451,0.42567567567567566,0.07961876832844575,0.019513686984313935
2,T21,z_tuned,0.33293942600000004,,sensitivity_constrained,False,abs_z,,,151,3,2,117,31,1,0.6666666666666666,0.20945945945945946,0.01680672268907563,0.07633587786259542,0.3918918918918919,0.02217311089582858,
2,T21,z_fixed_3,3.0,,fixed,False,abs_z,,,151,3,0,1,147,3,0.0,0.9932432432432432,0.0,0.0,0.3918918918918919,0.02217311089582858,
2,any,xgboost,0.07877392127137323,0.006877360638327834,sensitivity_constrained,True,probability_union,0.45858585858585854,32.613547237076645,151,16,15,104,31,1,0.9375,0.22962962962962963,0.12605042016806722,0.4098360655737705,0.8490740740740742,0.5916505192092902,0.07441339061790958
3,T13,xgboost,0.0213360160559296,0.0029286661550827,sensitivity_constrained,True,B_conservative,0.45858585858585854,106.0951871657754,151,6,5,99,46,1,0.8333333333333334,0.31724137931034485,0.04807692307692308,0.1953125,0.8252873563218391,0.4079621095750127,0.03370747167958105
3,T13,z_tuned,0.3059758015,,sensitivity_constrained,False,abs_z,,,151,6,5,118,27,1,0.8333333333333334,0.18620689655172415,0.04065040650406504,0.17006802721088435,0.525287356321839,0.0965943464269743,
3,T13,z_fixed_3,3.0,,fixed,False,abs_z,,,151,6,1,6,139,5,0.16666666666666666,0.9586206896551724,0.14285714285714285,0.16129032258064516,0.525287356321839,0.0965943464269743,
3,T18,xgboost,0.0367014914805768,0.0067498312074440875,sensitivity_constrained,True,B_conservative,0.45858585858585854,50.98395721925134,151,12,12,88,51,0,1.0,0.3669064748201439,0.12,0.40540540540540543,0.8069544364508394,0.37131201654753543,0.0630400827925125
3,T18,z_tuned,0.5151178215000001,,sensitivity_constrained,False,abs_z,,,151,12,10,94,45,2,0.8333333333333334,0.3237410071942446,0.09615384615384616,0.32894736842105265,0.5149880095923262,0.09026587577497691,
3,T18,z_fixed_3,3.0,,fixed,False,abs_z,,,151,12,0,10,129,12,0.0,0.9280575539568345,0.0,0.0,0.5149880095923262,0.09026587577497691,
3,T21,xgboost,0.018577134148820517,0.0016096464786748352,sensitivity_constrained,True,B_conservative,0.45858585858585854,61.08363636363636,151,3,2,86,62,1,0.6666666666666666,0.4189189189189189,0.022727272727272728,0.1,0.4752252252252252,0.02828355880768031,0.019533988717623258
3,T21,z_tuned,0.264489444,,sensitivity_constrained,False,abs_z,,,151,3,3,133,15,0,1.0,0.10135135135135136,0.022058823529411766,0.10135135135135136,0.4234234234234234,0.029567209719881474,
3,T21,z_fixed_3,3.0,,fixed,False,abs_z,,,151,3,0,1,147,3,0.0,0.9932432432432432,0.0,0.0,0.4234234234234234,0.029567209719881474,
3,any,xgboost,0.08599987952746618,0.0070580138310965546,sensitivity_constrained,True,probability_union,0.45858585858585854,33.348363636363636,151,17,16,83,51,1,0.9411764705882353,0.3805970149253731,0.16161616161616163,0.47904191616766467,0.7958735733099209,0.4117214629852646,0.08618817825352716
