outer_fold,label,feature,importance
1,any,18号染色体的Z值,0.0
1,any,21号染色体的Z值,0.04303073510527611
1,any,X染色体的Z值,0.0424441397190094
1,any,X染色体浓度,0.12377934902906418
1,any,13号染色体的GC含量,0.06166216358542442
1,any,18号染色体的GC含量,0.059140436351299286
1,any,21号染色体的GC含量,0.0633232593536377
1,any,被过滤掉读段数的比例,0.04962911456823349
1,any,怀孕次数,0.0
1,any,生产次数,0.0
1,any,BMI缺失,0.0
1,any,abs_Z13,0.0
1,any,GC偏离_13,0.06611388176679611
1,any,abs_Z18,0.03326980397105217
1,any,GC偏离_18,0.04504413902759552
1,any,abs_Z21,0.0
1,any,GC偏离_21,0.03829905018210411
1,any,最大绝对目标Z,0.038094718009233475
1,any,目标Z极差,0.05848198011517525
1,any,唯一读段占比,0.0
1,any,IVF_试管,0.0
2,T13,年龄,0.037364065647125244
2,T13,身高,0.013507070951163769
2,T13,体重,0.01198907196521759
2,T13,孕妇BMI,0.045432351529598236
2,T13,孕周_周,0.016493627801537514
2,T13,检测抽血次数,0.0
2,T13,原始读段数,0.025568054988980293
2,T13,在参考基因组上比对的比例,0.014778968878090382
2,T13,重复读段的比例,0.008326317183673382
2,T13,唯一比对的读段数,0.0
2,T13,GC含量,0.0315997339785099
2,T13,13号染色体的Z值,0.025496231392025948
2,T13,18号染色体的Z值,0.02236085757613182
2,T13,21号染色体的Z值,0.07899997383356094
2,T13,X染色体的Z值,0.030878573656082153
2,T13,X染色体浓度,0.10070212930440903
2,T13,13号染色体的GC含量,0.08640187978744507
2,T13,18号染色体的GC含量,0.03561468422412872
2,T13,21号染色体的GC含量,0.05073036625981331
2,T13,被过滤掉读段数的比例,0.03497273847460747
2,T13,怀孕次数,0.0
2,T13,生产次数,0.029835397377610207
2,T13,BMI缺失,0.0
2,T13,abs_Z13,0.0
2,T13,GC偏离_13,0.056874651461839676
2,T13,abs_Z18,0.025224074721336365
2,T13,GC偏离_18,0.04825185611844063
2,T13,abs_Z21,0.043799012899398804
2,T13,GC偏离_21,0.06158360466361046
2,T13,最大绝对目标Z,0.025870393961668015
2,T13,目标Z极差,0.0
2,T13,唯一读段占比,0.0373443067073822
2,T13,IVF_试管,0.0
2,T18,年龄,0.0397140197455883
2,T18,身高,0.040120527148246765
2,T18,体重,0.020701905712485313
2,T18,孕妇BMI,0.04250660911202431
2,T18,孕周_周,0.0313824824988842
2,T18,检测抽血次数,0.0327654592692852
2,T18,原始读段数,0.0
2,T18,在参考基因组上比对的比例,0.01874377951025963
2,T18,重复读段的比例,0.011431545950472355
2,T18,唯一比对的读段数,0.04316059499979019
2,T18,GC含量,0.016572479158639908
2,T18,13号染色体的Z值,0.040808454155921936
2,T18,18号染色体的Z值,0.03181526064872742
2,T18,21号染色体的Z值,0.029519526287913322
2,T18,X染色体的Z值,0.02967391163110733
2,T18,X染色体浓度,0.09561266750097275
2,T18,13号染色体的GC含量,0.06962065398693085
2,T18,18号染色体的GC含量,0.044614095240831375
2,T18,21号染色体的GC含量,0.047731198370456696
2,T18,被过滤掉读段数的比例,0.013272992335259914
2,T18,怀孕次数,0.0
2,T18,生产次数,0.012553305365145206
2,T18,BMI缺失,0.0
2,T18,abs_Z13,0.020357508212327957
2,T18,GC偏离_13,0.044713523238897324
2,T18,abs_Z18,0.035178717225790024
2,T18,GC偏离_18,0.043086305260658264
2,T18,abs_Z21,0.027123823761940002
2,T18,GC偏离_21,0.04396340623497963
2,T18,最大绝对目标Z,0.020951418206095695
2,T18,目标Z极差,0.027778713032603264
2,T18,唯一读段占比,0.024525174871087074
2,T18,IVF_试管,0.0
2,T21,年龄,0.02045389823615551
2,T21,身高,0.02380451373755932
2,T21,体重,0.022212373092770576
2,T21,孕妇BMI,0.05103932321071625
2,T21,孕周_周,0.0375058613717556
2,T21,检测抽血次数,0.055593013763427734
2,T21,原始读段数,0.015364812687039375
2,T21,在参考基因组上比对的比例,0.06713766604661942
2,T21,重复读段的比例,0.051966626197099686
2,T21,唯一比对的读段数,0.024759378284215927
2,T21,GC含量,0.045186541974544525
2,T21,13号染色体的Z值,0.03635256364941597
2,T21,18号染色体的Z值,0.019431287422776222
2,T21,21号染色体的Z值,0.024727370589971542
2,T21,X染色体的Z值,0.019869405776262283
2,T21,X染色体浓度,0.03904234245419502
2,T21,13号染色体的GC含量,0.035184066742658615
2,T21,18号染色体的GC含量,0.017031269147992134
2,T21,21号染色体的GC含量,0.02315666526556015
2,T21,被过滤掉读段数的比例,0.03128817304968834
2,T21,怀孕次数,0.019165154546499252
2,T21,生产次数,0.049216389656066895
2,T21,BMI缺失,0.0
2,T21,abs_Z13,0.02647903561592102
2,T21,GC偏离_13,0.040008485317230225
2,T21,abs_Z18,0.029963217675685883
2,T21,GC偏离_18,0.023382138460874557
