重复,胜出方案,两组平均孕周,三组平均孕周,三组减两组_平均孕周,两组最低审计达标概率,三组最低审计达标概率,三组减两组_最低审计概率
135,树AFT三组,15.191546281433904,15.15248796147671,-0.03905831995719389,0.8873560456599111,0.8946607255221335,0.007304679862222385
136,参数AFT两组,15.199036918138024,15.292134831460658,0.09309791332263373,0.8907171180442762,0.899886065978663,0.009168947934386829
137,参数AFT两组,15.337078651685374,15.295880149812715,-0.04119850187265861,0.895147871901386,0.8995599461473749,0.004412074245988884
138,参数AFT两组,15.16211878009629,15.123060460139095,-0.03905831995719389,0.892264247743308,0.8958091675997528,0.0035449198564447837
139,树AFT三组,15.369716425896183,15.330658105938987,-0.039058319957195664,0.8890430232229769,0.8955869408175209,0.00654391759454398
140,参数AFT两组,15.20224719101122,15.164258962011752,-0.037988228999466855,0.8933993930263503,0.8982253713033251,0.0048259782769748405
141,树AFT三组,15.243445692883874,15.156768325307635,-0.08667736757623956,0.8849736054355671,0.8976132384285644,0.012639632992997307
142,参数AFT两组,15.03156768325306,15.059390048154077,0.027822364901016527,0.8927782462454027,0.900760169727768,0.00798192348236526
143,参数AFT两组,14.807383627608333,14.779026217228449,-0.028357410379884485,0.8941074346744942,0.8984348423222956,0.0043274076478014845
144,参数AFT两组,15.226859283039039,15.162653825575157,-0.06420545746388129,0.8919846899185985,0.8974709844836287,0.0054862945650302475
145,参数AFT两组,15.136436597110736,15.103263777421063,-0.033172819689673005,0.8958886672471991,0.9002415091858351,0.004352841938636054
146,参数AFT两组,15.05778491171748,15.063135366506135,0.005350454788654702,0.8959238865441603,0.8973661306548444,0.0014422441106840544
147,参数AFT两组,15.110754414125184,15.076511503477779,-0.03424291064740537,0.8907226152858252,0.8999481563348735,0.00922554104904827
148,树AFT三组,15.13750668806847,15.176565008025664,0.03905831995719389,0.8867505450858555,0.900027471527408,0.013276926441552539
149,参数AFT两组,15.174424826110203,15.176565008025667,0.002140181915464723,0.8930619574217498,0.8984365835370672,0.005374626115317471
150,参数AFT两组,15.017121455323686,14.983413590155145,-0.03370786516854096,0.8925358435448253,0.8995967577152644,0.007060914170439081
151,树AFT三组,15.308186195826627,15.361155698234333,0.052969502407705704,0.8883678054506089,0.8975598957002557,0.009192090249646845
