开发可靠性阈值,最小组人数,可求解,该网格胜出,组数,切点,推荐孕周,开发平均孕周,开发组最低均值,开发组最低保守下限,开发组人数,求解器
0.925,40,True,False,4,29.512416|30.655869|33.249658,16|16|16|19,16.93258426966292,0.929631341100345,0.9252480656066842,40|55|89|83,ordered_dynamic_programming_global
0.95,20,True,False,1,,19,19.0,0.9559235809650642,0.9529953611214923,267,ordered_dynamic_programming_global
0.95,20,True,True,2,35.817449,18|24,18.629213483146067,0.9528336841951358,0.9502144062218395,239|28,ordered_dynamic_programming_global
0.95,20,True,False,3,28.891449|35.330226,18|18|23,18.674157303370787,0.9527871223073319,0.9500006739011219,21|210|36,ordered_dynamic_programming_global
0.95,20,True,False,4,28.802200|34.999822|36.741804,18|18|22|24,18.749063670411985,0.9530708069984288,0.9502765425976871,20|207|20|20,ordered_dynamic_programming_global
0.95,25,True,False,1,,19,19.0,0.9559235809650642,0.9529953611214923,267,ordered_dynamic_programming_global
0.95,25,True,True,2,35.817449,18|24,18.629213483146067,0.9528336841951358,0.9502144062218395,239|28,ordered_dynamic_programming_global
0.95,25,True,False,3,29.131119|35.330226,18|18|23,18.674157303370787,0.952863989028205,0.9500365795689729,25|206|36,ordered_dynamic_programming_global
0.95,25,True,False,4,29.131119|29.788378|34.721552,18|18|18|23,18.823970037453183,0.9531952046066677,0.9501280525603979,25|25|173|44,ordered_dynamic_programming_global
0.95,30,True,False,1,,19,19.0,0.9559235809650642,0.9529953611214923,267,ordered_dynamic_programming_global
0.95,30,True,True,2,35.330226,18|23,18.674157303370787,0.9535520539502425,0.9508629080232508,231|36,ordered_dynamic_programming_global
0.95,30,True,False,3,29.201415|34.920501,18|18|23,18.767790262172284,0.9530837496294617,0.9501879769357368,30|196|41,ordered_dynamic_programming_global
0.95,30,True,False,4,29.201415|29.927304|34.206744,18|18|18|22,18.853932584269664,0.9547599636596961,0.9500093113160522,30|30|150|57,ordered_dynamic_programming_global
0.95,35,True,False,1,,19,19.0,0.9559235809650642,0.9529953611214923,267,ordered_dynamic_programming_global
0.95,35,True,True,2,35.330226,18|23,18.674157303370787,0.9535520539502425,0.9508629080232508,231|36,ordered_dynamic_programming_global
0.95,35,True,False,3,29.409681|34.920501,18|18|23,18.767790262172284,0.953053579028822,0.9500631784802753,37|189|41,ordered_dynamic_programming_global
0.95,35,True,False,4,29.374358|30.235805|34.206744,18|18|18|22,18.853932584269664,0.9542644646177311,0.9500093113160522,35|35|140|57,ordered_dynamic_programming_global
0.95,40,True,False,1,,19,19.0,0.9559235809650642,0.9529953611214923,267,ordered_dynamic_programming_global
0.95,40,True,True,2,34.999822,18|23,18.749063670411985,0.9538376861307463,0.951225403816458,227|40,ordered_dynamic_programming_global
0.95,40,True,False,3,29.512416|34.920501,18|18|23,18.767790262172284,0.953119725800335,0.9500915837740904,40|186|41,ordered_dynamic_programming_global
0.95,40,True,False,4,29.512416|30.472290|34.206744,18|18|18|22,18.853932584269664,0.9542651947452852,0.9500093113160522,40|41|129|57,ordered_dynamic_programming_global
0.975,20,True,True,1,,22,22.0,0.9773207248665251,0.9754557208485745,267,ordered_dynamic_programming_global
0.975,20,True,False,2,33.652450,21|25,22.06367041198502,0.9781586865944525,0.975032685003145,196|71,ordered_dynamic_programming_global
0.975,20,True,False,3,28.802200|33.652450,21|21|25,22.06367041198502,0.9781586865944525,0.975032685003145,20|176|71,ordered_dynamic_programming_global
0.975,20,True,False,4,29.443804|30.114840|33.652450,21|20|21|25,21.95880149812734,0.9776224955156638,0.975032685003145,38|28|130|71,ordered_dynamic_programming_global
0.975,25,True,True,1,,22,22.0,0.9773207248665251,0.9754557208485745,267,ordered_dynamic_programming_global
0.975,25,True,False,2,33.652450,21|25,22.06367041198502,0.9781586865944525,0.975032685003145,196|71,ordered_dynamic_programming_global
0.975,25,True,False,3,29.131119|33.652450,21|21|25,22.06367041198502,0.9781586865944525,0.975032685003145,25|171|71,ordered_dynamic_programming_global
0.975,25,True,False,4,29.443804|30.114840|33.652450,21|20|21|25,21.95880149812734,0.9776224955156638,0.975032685003145,38|28|130|71,ordered_dynamic_programming_global
0.975,30,True,True,1,,22,22.0,0.9773207248665251,0.9754557208485745,267,ordered_dynamic_programming_global
0.975,30,True,False,2,33.652450,21|25,22.06367041198502,0.9781586865944525,0.975032685003145,196|71,ordered_dynamic_programming_global
0.975,30,True,False,3,29.201415|33.652450,21|21|25,22.06367041198502,0.9781586865944525,0.975032685003145,30|166|71,ordered_dynamic_programming_global
0.975,30,True,False,4,29.201415|29.927304|33.652450,21|21|21|25,22.06367041198502,0.9779554745814394,0.975032685003145,30|30|136|71,ordered_dynamic_programming_global
0.975,35,True,True,1,,22,22.0,0.9773207248665251,0.9754557208485745,267,ordered_dynamic_programming_global
0.975,35,True,False,2,33.652450,21|25,22.06367041198502,0.9781586865944525,0.975032685003145,196|71,ordered_dynamic_programming_global
0.975,35,True,False,3,29.374358|33.652450,21|21|25,22.06367041198502,0.9781586865944525,0.975032685003145,35|161|71,ordered_dynamic_programming_global
0.975,35,True,False,4,29.374358|30.235805|33.652450,21|21|21|25,22.06367041198502,0.9777237694906662,0.975032685003145,35|35|126|71,ordered_dynamic_programming_global
0.975,40,True,True,1,,22,22.0,0.9773207248665251,0.9754557208485745,267,ordered_dynamic_programming_global
0.975,40,True,False,2,33.652450,21|25,22.06367041198502,0.9781586865944525,0.975032685003145,196|71,ordered_dynamic_programming_global
0.975,40,True,False,3,29.512416|33.652450,21|21|25,22.06367041198502,0.9781586865944525,0.975032685003145,40|156|71,ordered_dynamic_programming_global
0.975,40,True,False,4,29.512416|30.472290|33.652450,21|21|21|25,22.06367041198502,0.9777856475814511,0.975032685003145,40|41|115|71,ordered_dynamic_programming_global
