最小组人数,固定切点,组数,切点,推荐孕周,开发平均孕周,开发组最低均值,开发组最低保守下限,开发组人数,求解器,平均检测孕周,总体达标概率,政策组最低均值,政策组最低保守下限,审计层最低均值,审计层最低保守下限,均值安全,保守下限安全,政策组人数,审计层人数,政策组均值,政策组保守下限,审计层均值,审计层保守下限
25,33.75,2,33.750000,18|22,19.0187265917603,0.9565675332704286,0.9542303038092632,199|68,fixed_cut_calibrated_times,19.0187265917603,0.9572774925249299,0.9565675332704286,0.9542303038092632,0.9506565724682254,0.9457251792367342,True,True,199|68,67|66|67|67,0.956568|0.959355,0.954230|0.954489,0.960074|0.959633|0.950657|0.958782,0.956704|0.956157|0.945725|0.953936
25,34.0,2,34.000000,18|22,18.9438202247191,0.9565998737991815,0.9524942292495561,204|63,fixed_cut_calibrated_times,18.9438202247191,0.9568117531693963,0.9565998737991815,0.9524942292495561,0.9504908310931209,0.9456171738501545,True,True,204|63,67|66|67|67,0.956600|0.957498,0.954282|0.952494,0.960074|0.959633|0.950491|0.957091,0.956704|0.956157|0.945617|0.952272
25,34.25,2,34.250000,18|23,19.029962546816478,0.9560680012219887,0.9537400828906034,212|55,fixed_cut_calibrated_times,19.029962546816478,0.9574461548815962,0.9560680012219887,0.9537400828906034,0.9504908310931209,0.9456171738501545,True,True,212|55,67|66|67|67,0.956068|0.962758,0.953740|0.958080,0.960074|0.959633|0.950491|0.959620,0.956704|0.956157|0.945617|0.955012
25,34.5,2,34.500000,18|23,18.89887640449438,0.9551026265632164,0.9526020242146191,219|48,fixed_cut_calibrated_times,18.89887640449438,0.9561696882690949,0.9551026265632164,0.9526020242146191,0.9504908310931209,0.9456171738501545,True,True,219|48,67|66|67|67,0.955103|0.961038,0.952602|0.956079,0.960074|0.959633|0.950491|0.954533,0.956704|0.956157|0.945617|0.948917
25,34.75,2,34.750000,18|23,18.805243445692884,0.9541301560513231,0.9515396659904378,224|43,fixed_cut_calibrated_times,18.805243445692884,0.9550586598597796,0.9541301560513231,0.9515396659904378,0.9501052024845911,0.9439607459281284,True,True,224|43,67|66|67|67,0.954130|0.959896,0.951540|0.954524,0.960074|0.959633|0.950491|0.950105,0.956704|0.956157|0.945617|0.943961
25,35.0,2,35.000000,18|23,18.749063670411985,0.9538376861307462,0.9512254038164568,227|40,fixed_cut_calibrated_times,18.749063670411985,0.9545826687100009,0.9538376861307462,0.9512254038164568,0.9482083422309951,0.9419512872442853,True,True,227|40,67|66|67|67,0.953838|0.958810,0.951225|0.953247,0.960074|0.959633|0.950491|0.948208,0.956704|0.956157|0.945617|0.941951
25,35.25,2,35.250000,18|23,18.692883895131086,0.9537152904853299,0.9511214027667572,230|37,fixed_cut_calibrated_times,18.692883895131086,0.9541584480763383,0.9537152904853299,0.9511214027667572,0.9465177913475941,0.940393110065429,True,True,230|37,67|66|67|67,0.953715|0.956913,0.951121|0.951269,0.960074|0.959633|0.950491|0.946518,0.956704|0.956157|0.945617|0.940393
25,35.5,2,35.500000,18|24,18.764044943820224,0.9535218126414816,0.9509379393640731,233|34,fixed_cut_calibrated_times,18.764044943820224,0.9546767988717995,0.9535218126414816,0.9509379393640731,0.9485834579504022,0.942378153193746,True,True,233|34,67|66|67|67,0.953522|0.962592,0.950938|0.957470,0.960074|0.959633|0.950491|0.948583,0.956704|0.956157|0.945617|0.942378
25,35.75,2,35.750000,18|24,18.651685393258425,0.9530937208120596,0.9504987276211625,238|29,fixed_cut_calibrated_times,18.651685393258425,0.9538115519454484,0.9530937208120596,0.9504987276211625,0.9451353843782273,0.9389450469406188,True,True,238|29,67|66|67|67,0.953094|0.959703,0.950499|0.954444,0.960074|0.959633|0.950491|0.945135,0.956704|0.956157|0.945617|0.938945
25,36.0,2,36.000000,19|24,19.48689138576779,0.9590113510458698,0.9532239069896246,241|26,fixed_cut_calibrated_times,19.48689138576779,0.9618030697513391,0.9590113510458698,0.9532239069896246,0.9496418804625009,0.9442582506211853,True,True,241|26,67|66|67|67,0.962104|0.959011,0.959819|0.953224,0.968773|0.968362|0.960533|0.949642,0.965838|0.965329|0.956410|0.944258
