重复,方案,最低审计均值,最低审计保守下限,均值安全,保守下限安全,平均检测孕周
975,问题2_18_22,0.9450565582533872,0.9394231127345263,True,True,18.689138576779026
975,问题2_16_18,0.8976034776936652,0.8895425793885184,True,False,16.344569288389515
976,v2数据切点35.33,0.9416451816876894,0.9357990175651268,True,True,18.655430711610485
976,v2整数切点35_开发18_23,0.9454126743467235,0.9393015578619055,True,True,18.767790262172284
976,v2整数切点35_部署18_22,0.9397929023918076,0.9338098897141247,True,True,18.61423220973783
976,问题2_18_22,0.9505729143538618,0.9457755866813656,True,True,18.853932584269664
976,问题2_16_18,0.9012941429761395,0.8939053932344022,True,False,16.426966292134832
977,v2数据切点35.33,0.9473741226144381,0.940297218776721,True,True,18.655430711610485
977,v2整数切点35_开发18_23,0.9485372287673449,0.9423621051678595,True,True,18.711610486891384
977,v2整数切点35_部署18_22,0.9445373921608279,0.9374640896522273,True,True,18.56928838951311
977,问题2_18_22,0.9485372287673449,0.9435338480816429,True,True,18.704119850187265
977,问题2_16_18,0.9050483994298009,0.8957814010412749,True,False,16.352059925093634
978,v2数据切点35.33,0.9502147988984128,0.9450301430840525,True,True,18.674157303370787
978,v2整数切点35_开发18_23,0.9502147988984128,0.9450301430840525,True,True,18.749063670411985
978,v2整数切点35_部署18_22,0.9493495346471137,0.9435100832549718,True,True,18.59925093632959
978,问题2_18_22,0.9502147988984128,0.9450301430840525,True,True,18.734082397003746
978,问题2_16_18,0.9113556306916936,0.9028821310213969,True,True,16.367041198501873
979,v2数据切点35.33,0.9452118971844802,0.9389077349002773,True,True,18.692883895131086
979,v2整数切点35_开发18_23,0.9455783197594423,0.9391973142675143,True,True,18.711610486891384
979,v2整数切点35_部署18_22,0.9404806945252802,0.9341597403400026,True,True,18.56928838951311
979,问题2_18_22,0.9482164135213611,0.94252208778973,True,True,18.734082397003746
979,问题2_16_18,0.9012253103751551,0.8925797189209934,True,False,16.367041198501873
980,v2数据切点35.33,0.9494558717063998,0.9432872200993524,True,True,18.636704119850187
980,v2整数切点35_开发18_23,0.9523699952085966,0.9466864324136243,True,True,18.749063670411985
980,v2整数切点35_部署18_22,0.9483119407897883,0.9419642426112981,True,True,18.59925093632959
980,问题2_18_22,0.9523699952085966,0.9477257739099982,True,True,18.734082397003746
980,问题2_16_18,0.9113349270221143,0.9031743451459641,True,True,16.367041198501873
981,v2数据切点35.33,0.947547998573094,0.9411624720514056,True,True,18.749063670411985
981,v2整数切点35_开发18_23,0.9490584931486965,0.94243965290529,True,True,18.805243445692884
981,v2整数切点35_部署18_22,0.9437725346777857,0.9371004146417772,True,True,18.644194756554306
981,问题2_18_22,0.9528613809863691,0.9476598098260243,True,True,18.83895131086142
981,问题2_16_18,0.9060388042564315,0.8971014147814819,True,False,16.419475655430713
982,v2数据切点35.33,0.9396676408094967,0.9339581853991039,True,True,18.56179775280899
982,v2整数切点35_开发18_23,0.9434358546276059,0.9374032396728007,True,True,18.674157303370787
982,v2整数切点35_部署18_22,0.9387197969629006,0.9327603083756534,True,True,18.53932584269663
982,问题2_18_22,0.9484416479481235,0.9426844334989538,True,True,18.764044943820224
982,问题2_16_18,0.9018121880428124,0.8936682384706138,True,False,16.382022471910112
983,v2数据切点35.33,0.9469439647575189,0.9413421496218856,True,True,18.617977528089888
983,v2整数切点35_开发18_23,0.9515744936607803,0.9460295148393199,True,True,18.749063670411985
983,v2整数切点35_部署18_22,0.946805861720423,0.9412339483431255,True,True,18.59925093632959
983,问题2_18_22,0.9537253161196707,0.9490455856016113,True,True,18.749063670411985
983,问题2_16_18,0.910662218356697,0.9031329124592776,True,True,16.374531835205993
984,v2数据切点35.33,0.9471277821816317,0.9405407858470667,True,True,18.636704119850187
984,v2整数切点35_开发18_23,0.9486160636017106,0.9418053930872037,True,True,18.692883895131086
984,v2整数切点35_部署18_22,0.9437175652987018,0.9369508303257,True,True,18.55430711610487
984,问题2_18_22,0.9543645633433614,0.9495077387440097,True,True,18.794007490636705
984,问题2_16_18,0.9076665707345275,0.8990449456340753,True,False,16.39700374531835
985,v2数据切点35.33,0.9505426899327478,0.9450444025405382,True,True,18.655430711610485
985,v2整数切点35_开发18_23,0.9529860542833429,0.9474534643165031,True,True,18.730337078651687
985,v2整数切点35_部署18_22,0.9477892539179784,0.9422106468318571,True,True,18.584269662921347
985,问题2_18_22,0.9534663898172464,0.9482635259450249,True,True,18.734082397003746
985,问题2_16_18,0.9074712604196916,0.8990260695008612,True,False,16.367041198501873
986,v2数据切点35.33,0.947253396181271,0.9402528772570562,True,True,18.674157303370787
986,v2整数切点35_开发18_23,0.9485582773315154,0.9413542562558237,True,True,18.730337078651687
986,v2整数切点35_部署18_22,0.9438440940020163,0.9367842500564207,True,True,18.584269662921347
986,问题2_18_22,0.9539117663762158,0.949015767578677,True,True,18.779026217228463
986,问题2_16_18,0.908357373702094,0.9004788283889039,True,True,16.38951310861423
987,v2数据切点35.33,0.9524131363618809,0.9463070292087342,True,True,18.43071161048689
987,v2整数切点35_开发18_23,0.9524131363618809,0.9463070292087342,True,True,18.43071161048689
987,v2整数切点35_部署18_22,0.9496398204742749,0.9434699453486757,True,True,18.344569288389515
987,问题2_18_22,0.9540879616663607,0.9489166962198575,True,True,18.43445692883895
987,问题2_16_18,0.9180541733741391,0.9096201930318077,True,True,16.217228464419474
988,v2数据切点35.33,0.9348990264493781,0.9286804590030506,True,True,18.730337078651687
988,v2整数切点35_开发18_23,0.937728781692205,0.9313100401029341,True,True,18.805243445692884
988,v2整数切点35_部署18_22,0.9317588888890608,0.9257221719027799,True,True,18.644194756554306
988,问题2_18_22,0.9448281524620928,0.9403585967001512,True,True,18.883895131086142
988,问题2_16_18,0.8909166815269313,0.8845448025073912,True,False,16.44194756554307
989,v2数据切点35.33,0.9493502648423949,0.944547706054449,True,True,18.56179775280899
989,v2整数切点35_开发18_23,0.9493502648423949,0.945129905164573,True,True,18.59925093632959
989,v2整数切点35_部署18_22,0.9476725514116044,0.9414285674673234,True,True,18.47940074906367
989,问题2_18_22,0.9493502648423949,0.945129905164573,True,True,18.644194756554306
989,问题2_16_18,0.9125554066175509,0.9034465041242188,True,True,16.322097378277153
990,v2数据切点35.33,0.9452650603323135,0.9392352700796931,True,True,18.711610486891384
990,v2整数切点35_开发18_23,0.9480127936840439,0.9419725542464094,True,True,18.786516853932586
990,v2整数切点35_部署18_22,0.9426834496625507,0.9366048615130472,True,True,18.629213483146067
990,问题2_18_22,0.9506110649409131,0.9454186640611184,True,True,18.794007490636705
990,问题2_16_18,0.9034440739593936,0.8952741617667087,True,False,16.39700374531835
991,v2数据切点35.33,0.9427833124019273,0.9368164883101698,True,True,18.730337078651687
991,v2整数切点35_开发18_23,0.9471725951621777,0.9410123466759642,True,True,18.861423220973784
991,v2整数切点35_部署18_22,0.9413150993062213,0.9351861939675863,True,True,18.689138576779026
991,问题2_18_22,0.9460413563540979,0.9405238228302497,True,True,18.779026217228463
991,问题2_16_18,0.8973836318856592,0.8893468165132007,True,False,16.38951310861423
992,v2数据切点35.33,0.9470158563789439,0.9412095400759171,True,True,18.46816479400749
992,v2整数切点35_开发18_23,0.9495458209160512,0.9437156826509708,True,True,18.54307116104869
992,v2整数切点35_部署18_22,0.9460213953346281,0.9401155390571466,True,True,18.43445692883895
992,问题2_18_22,0.9495458209160512,0.9459263776908614,True,True,18.56928838951311
992,问题2_16_18,0.9112499136491452,0.9030104242548329,True,True,16.284644194756556
993,v2数据切点35.33,0.9483448406688993,0.9427106101425041,True,True,18.730337078651687
993,v2整数切点35_开发18_23,0.9483448406688993,0.9427106101425041,True,True,18.823970037453183
993,v2整数切点35_部署18_22,0.9483448406688993,0.9427106101425041,True,True,18.65917602996255
993,问题2_18_22,0.9483448406688993,0.9427106101425041,True,True,18.83895131086142
993,问题2_16_18,0.911541986235974,0.9039363073370988,True,True,16.419475655430713
994,v2数据切点35.33,0.9477770952927099,0.9429595473570525,True,True,18.767790262172284
994,v2整数切点35_开发18_23,0.9477770952927099,0.9429595473570525,True,True,18.861423220973784
994,v2整数切点35_部署18_22,0.9455477975758187,0.9396866457231199,True,True,18.689138576779026
994,问题2_18_22,0.9477770952927099,0.9429595473570525,True,True,18.868913857677903
994,问题2_16_18,0.9057805519208993,0.8977239976778665,True,False,16.43445692883895
995,v2数据切点35.33,0.9476279381597308,0.9411656405841494,True,True,18.617977528089888
995,v2整数切点35_开发18_23,0.9490199727334077,0.9427489486828015,True,True,18.692883895131086
995,v2整数切点35_部署18_22,0.9450707618947627,0.9383751184362996,True,True,18.55430711610487
995,问题2_18_22,0.9490199727334077,0.9447798356141855,True,True,18.674157303370787
995,问题2_16_18,0.9072491474939502,0.8986565967252693,True,False,16.337078651685392
996,v2数据切点35.33,0.9463520553971253,0.9393746969811988,True,True,18.692883895131086
996,v2整数切点35_开发18_23,0.9482241049064754,0.9412346061433763,True,True,18.749063670411985
996,v2整数切点35_部署18_22,0.943713776493509,0.9369507296425811,True,True,18.59925093632959
996,问题2_18_22,0.9491351715471782,0.943881489003696,True,True,18.823970037453183
996,问题2_16_18,0.9099501464301382,0.9026243284598711,True,True,16.411985018726593
