重复,袋外人数,存在方案,胜出组数,胜出切点,胜出推荐孕周,胜出开发平均孕周,袋外平均检测孕周,袋外总体达标概率,袋外政策组最低均值,袋外政策组最低保守下限,袋外审计层最低均值,袋外审计层最低保守下限,袋外均值安全,袋外保守下限安全,袋外政策组人数,袋外审计层人数,袋外政策组均值,袋外政策组保守下限,袋外审计层均值,袋外审计层保守下限
604,92,True,1,,19,19.0,19.0,0.9581969358090199,0.9581969358090199,0.9532237954323785,0.9219009287206575,0.9060680919913723,True,True,92,30|30|14|18,0.958197,0.953224,0.969703|0.966667|0.962057|0.921901,0.965125|0.962732|0.952296|0.906068
605,108,True,2,35.279930,18|23,18.674157303370787,18.64814814814815,0.953313578729479,0.9527398192252091,0.948051649280915,0.9425820509042484,0.9323151562137942,True,True,94|14,28|28|26|26,0.952740|0.957166,0.948559|0.948052,0.962181|0.958152|0.949284|0.942582,0.957263|0.952763|0.941167|0.932315
606,105,True,2,35.467684,18|23,18.617977528089888,18.666666666666668,0.9537068563361135,0.9528408718600251,0.9487152982234326,0.943207245138877,0.9340074013748327,True,True,91|14,29|27|24|25,0.952841|0.959336,0.948715|0.951445,0.959880|0.958140|0.943207|0.951838,0.954632|0.952639|0.934007|0.942713
607,103,True,2,35.054024,18|23,18.655430711610485,18.679611650485437,0.9521511912190099,0.9511653264963689,0.9465145335830698,0.942114613723465,0.9308086319037863,True,True,89|14,20|24|34|25,0.951165|0.958418,0.946789|0.946515,0.955566|0.955095|0.955444|0.942115,0.948548|0.947615|0.949311|0.930809
608,90,True,2,36.044734,18|24,18.741573033707866,18.466666666666665,0.9519230370373315,0.9508908507589995,0.9466564590860066,0.9402122169033755,0.9272367024942783,True,True,83|7,24|22|27|17,0.950891|0.964162,0.946656|0.954381,0.955504|0.959163|0.950214|0.940212,0.949859|0.953579|0.942585|0.927237
609,97,True,2,35.937176,18|24,18.674157303370787,18.432989690721648,0.9518918159295735,0.9508371417106533,0.9466091941523267,0.9474447305578583,0.9376062985888071,True,True,90|7,21|25|30|21,0.950837|0.965452,0.946609|0.954176,0.955654|0.957038|0.947445|0.948356,0.949122|0.950611|0.939413|0.937606
610,94,True,2,34.945411,18|23,18.655430711610485,18.95744680851064,0.9565204476069936,0.9548591472430785,0.9502670228895767,0.94558675872845,0.9290565970447623,True,True,76|18,35|15|10|34,0.954859|0.963535,0.950267|0.956754,0.958928|0.961168|0.945587|0.955207,0.954206|0.955495|0.929057|0.947057
611,95,True,2,35.656271,18|23,18.655430711610485,18.36842105263158,0.9551033959302798,0.9549891944564599,0.9466539785153448,0.946057473945729,0.9348361213642613,True,True,88|7,17|35|26|17,0.954989|0.956539,0.950777|0.946654,0.960299|0.963634|0.946057|0.946180,0.952966|0.959057|0.937475|0.934836
612,105,True,1,,19,19.0,19.0,0.9568990389418747,0.9568990389418747,0.9522987569141216,0.9178050470316772,0.9031963554543659,True,True,105,26|36|25|18,0.956899,0.952299,0.967003|0.969649|0.956179|0.917805,0.962014|0.965902|0.948605|0.903196
613,102,True,2,34.357014,18|22,18.56928838951311,19.058823529411764,0.9552025670584066,0.949900947545418,0.942204564374855,0.9512501486175791,0.9449194839852758,True,True,75|27,19|23|27|33,0.957111|0.949901,0.953608|0.942205,0.960819|0.960122|0.951250|0.951774,0.955291|0.953577|0.945231|0.944919
614,100,True,2,35.091605,18|23,18.56179775280899,18.9,0.9542968695779819,0.9528640898837034,0.9486288191993818,0.9476908039332876,0.9401249928063199,True,True,82|18,27|16|24|33,0.952864|0.960824,0.948629|0.952218,0.959187|0.963528|0.947691|0.950624,0.954457|0.955382|0.940125|0.942389
615,95,True,1,,19,19.0,19.0,0.9555126183283665,0.9555126183283665,0.950241351983369,0.9132211512090515,0.8972090727620824,True,False,95,19|26|32|18,0.955513,0.950241,0.971265|0.964590|0.962574|0.913221,0.965554|0.959018|0.957227|0.897209
616,90,True,2,35.733752,18|24,18.674157303370787,18.6,0.9541499148704817,0.9534079120500485,0.9486998613254152,0.9389992581686541,0.9259563990239315,True,True,81|9,20|22|26|22,0.953408|0.960828,0.948700|0.951993,0.964113|0.961085|0.953438|0.938999,0.958114|0.956436|0.947081|0.925956
617,99,True,1,,19,19.0,19.0,0.955811122998392,0.955811122998392,0.9512339440928006,0.9256172390711133,0.915665019581643,True,True,99,29|26|18|26,0.955811,0.951234,0.968171|0.969917|0.959136|0.925617,0.963886|0.964959|0.951613|0.915665
618,108,True,1,,19,19.0,19.0,0.9570968651471311,0.9570968651471311,0.9526189602025928,0.9274574458469803,0.9152713972019936,True,True,108,29|32|22|25,0.957097,0.952619,0.968297|0.968270|0.959761|0.927457,0.964103|0.964821|0.950932|0.915271
619,94,True,1,,19,19.0,19.0,0.9595631244214732,0.9595631244214732,0.9547612844363963,0.9276626070504089,0.9112148898441363,True,True,94,23|25|28|18,0.959563,0.954761,0.972841|0.966945|0.962573|0.927663,0.968637|0.961229|0.956784|0.911215
620,104,True,1,,19,19.0,19.0,0.9561709846736787,0.9561709846736787,0.9517712639945111,0.9252418387149781,0.9117454297847453,True,True,104,24|38|22|20,0.956171,0.951771,0.968462|0.965909|0.954061|0.925242,0.964400|0.961861|0.945432|0.911745
621,95,True,2,36.044734,18|24,18.674157303370787,18.568421052631578,0.9520582162786096,0.9511081752593448,0.9467658108195657,0.9426877215089668,0.9323121753836151,True,True,86|9,21|22|29|23,0.951108|0.961136,0.946766|0.952285,0.961021|0.957217|0.949086|0.942688,0.955185|0.950541|0.941723|0.932312
622,97,True,2,34.721552,18|23,19.04868913857678,18.567010309278352,0.9564702425872708,0.9559218816308994,0.9510810109871888,0.9484206293883952,0.94125383832629,True,True,86|11,32|18|34|13,0.955922|0.960757,0.952079|0.951081,0.960914|0.964510|0.948421|0.955452,0.956354|0.959300|0.941254|0.943730
