最小组人数,固定切点,outer_fold,组数,切点,推荐孕周,开发平均孕周,开发组最低均值,开发组最低保守下限,开发组人数,求解器,测试平均检测孕周,测试总体达标概率,测试政策组最低均值,测试政策组最低保守下限,测试审计层最低均值,测试审计层最低保守下限,测试均值安全,测试保守下限安全,测试政策组人数,测试审计层人数,测试政策组均值,测试政策组保守下限,测试审计层均值,测试审计层保守下限
20,33.75,0,2,33.750000,18|22,19.12,0.9571102735450854,0.9526043553074357,144|56,fixed_cut_calibrated_times,18.71641791044776,0.9593258255055441,0.9477793951731112,0.9344839130061543,0.9477793951731112,0.9344839130061543,True,True,55|12,18|15|22|12,0.961845|0.947779,0.958064|0.934484,0.968696|0.964072|0.954722|0.947779,0.963312|0.957844|0.948153|0.934484
20,33.75,1,2,33.750000,19|22,19.81,0.9575201868529801,0.9530474993043565,146|54,fixed_cut_calibrated_times,19.62686567164179,0.9587973424946856,0.9586058067430334,0.9557006418511199,0.9564209484899532,0.951716837894564,True,True,53|14,17|17|20|13,0.958606|0.959522,0.956509|0.955701,0.962212|0.958589|0.956421|0.958261,0.960952|0.955143|0.951717|0.954795
20,33.75,2,2,33.750000,19|21,19.49,0.9604596991771777,0.9551568199690047,151|49,fixed_cut_calibrated_times,19.567164179104477,0.9632412191983049,0.9566856145980843,0.9423082457474576,0.9578994608850541,0.9451936260252854,True,True,48|19,14|20|10|23,0.965836|0.956686,0.960933|0.942308,0.961906|0.966462|0.970955|0.957899,0.953610|0.958174|0.964549|0.945194
20,33.75,3,2,33.750000,18|21,18.671641791044777,0.957646705660874,0.9509862862823947,156|45,fixed_cut_calibrated_times,19.045454545454547,0.9558707009990096,0.9514626613378059,0.9436121789362638,0.9343764184429283,0.9157593973866138,True,True,43|23,17|15|11|23,0.958228|0.951463,0.951909|0.943612,0.967301|0.965438|0.934376|0.951463,0.963043|0.959988|0.915759|0.943612
20,34.0,0,2,34.000000,18|23,19.275,0.9574081569937386,0.9547219083996475,149|51,fixed_cut_calibrated_times,18.895522388059703,0.9608283189952372,0.9561683171572319,0.9444768648633092,0.9547215361016828,0.9444768648633092,True,True,55|12,18|15|22|12,0.961845|0.956168,0.958064|0.944477,0.968696|0.964072|0.954722|0.956168,0.963312|0.957844|0.948153|0.944477
20,34.0,1,2,34.000000,19|22,19.75,0.9554709391075379,0.9509769247107048,150|50,fixed_cut_calibrated_times,19.582089552238806,0.9584767983767892,0.9582606227063314,0.9547945107403719,0.9553471256949994,0.9509558994007206,True,True,54|13,17|17|20|13,0.958529|0.958261,0.956468|0.954795,0.962212|0.958589|0.955347|0.958261,0.960952|0.955143|0.950956|0.954795
20,34.0,2,2,34.000000,19|21,19.47,0.9606880657816648,0.9538963945664598,153|47,fixed_cut_calibrated_times,19.47761194029851,0.9626461388234075,0.9532172688880831,0.936679727000629,0.9561659658799183,0.9435402411510905,True,True,51|16,14|20|10|23,0.965604|0.953217,0.960852|0.936680,0.961906|0.966462|0.970955|0.956166,0.953610|0.958174|0.964549|0.943540
20,34.0,3,2,34.000000,18|22,18.81592039800995,0.9616689738966977,0.9585922433922531,160|41,fixed_cut_calibrated_times,19.333333333333332,0.9593388489944173,0.9588749897828026,0.9526099030134478,0.9343764184429283,0.9157593973866138,True,True,44|22,17|15|11|23,0.958875|0.960267,0.952610|0.954097,0.967301|0.965438|0.934376|0.961415,0.963043|0.959988|0.915759|0.955225
20,34.25,0,2,34.250000,18|23,19.125,0.9561849210678416,0.95336017207432,155|45,fixed_cut_calibrated_times,18.746268656716417,0.9601230204519224,0.9490197130209337,0.9386197257409872,0.9522304002903902,0.9428962723009275,True,True,57|10,18|15|22|12,0.962071|0.949020,0.958411|0.938620,0.968696|0.964072|0.954722|0.952230,0.963312|0.957844|0.948153|0.942896
20,34.25,1,2,34.250000,19|23,19.9,0.9583560501909756,0.9562190148142794,155|45,fixed_cut_calibrated_times,19.597014925373134,0.9584182489570893,0.9576001973833703,0.9553491315468772,0.9553471256949994,0.9509558994007206,True,True,57|10,17|17|20|13,0.957600|0.963081,0.955349|0.961333,0.962212|0.958589|0.955347|0.957959,0.960952|0.955143|0.950956|0.952313
20,34.25,2,2,34.250000,19|21,19.4,0.9596921436599629,0.9541434568190273,160|40,fixed_cut_calibrated_times,19.44776119402985,0.9625077811632269,0.9510079070320734,0.933760748210838,0.9557629240002621,0.9432387468786607,True,True,52|15,14|20|10|23,0.965825|0.951008,0.961151|0.933761,0.961906|0.966462|0.970955|0.955763,0.953610|0.958174|0.964549|0.943239
20,34.25,3,2,34.250000,18|22,18.696517412935325,0.9607043897427637,0.9561162792428134,166|35,fixed_cut_calibrated_times,19.21212121212121,0.9578507697874916,0.9573347842692609,0.9509200490608108,0.9343764184429283,0.9157593973866138,True,True,46|20,17|15|11|23,0.957335|0.959038,0.950920|0.952620,0.967301|0.965438|0.934376|0.957145,0.963043|0.959988|0.915759|0.949605
20,34.5,0,2,34.500000,18|23,18.975,0.9553622908564023,0.9525334888439811,161|39,fixed_cut_calibrated_times,18.671641791044777,0.9591651946647477,0.9484308322395445,0.9368538432895614,0.9468825396453319,0.934272223798641,True,True,58|9,18|15|22|12,0.960831|0.948431,0.956696|0.936854,0.968696|0.964072|0.954722|0.946883,0.963312|0.957844|0.948153|0.934272
20,34.5,1,2,34.500000,19|23,19.78,0.9571083344532095,0.9548121940072622,161|39,fixed_cut_calibrated_times,19.53731343283582,0.957870415848273,0.9571150813010714,0.9547636152749168,0.9551354204439791,0.9485787508856749,True,True,58|9,17|17|20|13,0.957115|0.962738,0.954764|0.960888,0.962212|0.958589|0.955347|0.955135,0.960952|0.955143|0.950956|0.948579
20,34.5,2,2,34.500000,19|21,19.35,0.9592695372941071,0.9534957762278313,165|35,fixed_cut_calibrated_times,19.388059701492537,0.9623467780546914,0.9444594749405636,0.9263512747735692,0.9552939149449629,0.9429336017487254,True,True,54|13,14|20|10|23,0.966653|0.944459,0.962054|0.926351,0.961906|0.966462|0.970955|0.955294,0.953610|0.958174|0.964549|0.942934
20,34.5,3,2,34.500000,18|22,18.616915422885572,0.9594801804642556,0.9555083147285304,170|31,fixed_cut_calibrated_times,19.03030303030303,0.9551883335840614,0.9539670208877775,0.9467925191909413,0.9343764184429283,0.9157593973866138,True,True,49|17,17|15|11|23,0.953967|0.958709,0.946793|0.952024,0.967301|0.965438|0.934376|0.949505,0.963043|0.959988|0.915759|0.938727
20,34.75,0,2,34.750000,18|23,18.9,0.9547435067465684,0.9518244368992236,164|36,fixed_cut_calibrated_times,18.52238805970149,0.9576085360731044,0.9425537130567182,0.9299699564198491,0.938191195841989,0.9256024704946778,True,True,60|7,18|15|22|12,0.959365|0.942554,0.955019|0.929970,0.968696|0.964072|0.954722|0.938191,0.963312|0.957844|0.948153|0.925602
20,34.75,1,2,34.750000,19|23,19.68,0.9557941278042215,0.9533229877985021,166|34,fixed_cut_calibrated_times,19.53731343283582,0.957870415848273,0.9571150813010714,0.9547636152749168,0.9551354204439791,0.9485787508856749,True,True,58|9,17|17|20|13,0.957115|0.962738,0.954764|0.960888,0.962212|0.958589|0.955347|0.955135,0.960952|0.955143|0.950956|0.948579
20,34.75,2,2,34.750000,19|21,19.3,0.959134223581527,0.9510354150026135,170|30,fixed_cut_calibrated_times,19.388059701492537,0.9623467780546914,0.9444594749405636,0.9263512747735692,0.9552939149449629,0.9429336017487254,True,True,54|13,14|20|10|23,0.966653|0.944459,0.962054|0.926351,0.961906|0.966462|0.970955|0.955294,0.953610|0.958174|0.964549|0.942934
20,34.75,3,2,34.750000,18|22,18.577114427860696,0.9591585559968415,0.954115023497499,172|29,fixed_cut_calibrated_times,18.848484848484848,0.9526386626855217,0.9513145843948906,0.9438354051701981,0.9343764184429283,0.9157593973866138,True,True,52|14,17|15|11|23,0.951315|0.957557,0.943835|0.950477,0.967301|0.965438|0.934376|0.942188,0.963043|0.959988|0.915759|0.929926
20,35.0,0,2,35.000000,18|23,18.875,0.9544060862407715,0.9514521444201745,165|35,fixed_cut_calibrated_times,18.37313432835821,0.9559017550461129,0.9342492728364272,0.9212931718494758,0.9286616684412867,0.916297333007055,True,True,62|5,18|15|22|12,0.957648|0.934249,0.952998|0.921293,0.968696|0.964072|0.954722|0.928662,0.963312|0.957844|0.948153|0.916297
20,35.0,1,2,35.000000,19|23,19.62,0.9556787720454288,0.9532389132488869,169|31,fixed_cut_calibrated_times,19.53731343283582,0.957870415848273,0.9571150813010714,0.9547636152749168,0.9551354204439791,0.9485787508856749,True,True,58|9,17|17|20|13,0.957115|0.962738,0.954764|0.960888,0.962212|0.958589|0.955347|0.955135,0.960952|0.955143|0.950956|0.948579
20,35.0,2,2,35.000000,19|22,19.42,0.9593752323739999,0.9560588527762288,172|28,fixed_cut_calibrated_times,19.53731343283582,0.9638455362405649,0.9492075296749105,0.9329521480018733,0.9596598627038112,0.9487891533979727,True,True,55|12,14|20|10|23,0.967039|0.949208,0.962480|0.932952,0.961906|0.966462|0.970955|0.959660,0.953610|0.958174|0.964549|0.948789
20,35.0,3,2,35.000000,18|22,18.51741293532338,0.9584644190320741,0.9522117296279635,175|26,fixed_cut_calibrated_times,18.848484848484848,0.9526386626855217,0.9513145843948906,0.9438354051701981,0.9343764184429283,0.9157593973866138,True,True,52|14,17|15|11|23,0.951315|0.957557,0.943835|0.950477,0.967301|0.965438|0.934376|0.942188,0.963043|0.959988|0.915759|0.929926
20,35.25,0,2,35.250000,18|23,18.8,0.9536395429745236,0.9506430909541982,168|32,fixed_cut_calibrated_times,18.37313432835821,0.9559017550461129,0.9342492728364272,0.9212931718494758,0.9286616684412867,0.916297333007055,True,True,62|5,18|15|22|12,0.957648|0.934249,0.952998|0.921293,0.968696|0.964072|0.954722|0.928662,0.963312|0.957844|0.948153|0.916297
20,35.25,1,2,35.250000,19|23,19.58,0.9553714002277257,0.9528803846887701,171|29,fixed_cut_calibrated_times,19.47761194029851,0.957322582739457,0.9566464098317318,0.9542099489141563,0.9523119728831576,0.9452047330315895,True,True,59|8,17|17|20|13,0.956646|0.962309,0.954210|0.960370,0.962212|0.958589|0.955347|0.952312,0.960952|0.955143|0.950956|0.945205
20,35.25,2,2,35.250000,19|22,19.39,0.9594522048463588,0.9544108022276255,174|26,fixed_cut_calibrated_times,19.492537313432837,0.9636329249635434,0.9457517057161184,0.9290692549421886,0.9590405168098791,0.9483161984552276,True,True,56|11,14|20|10|23,0.967145|0.945752,0.962665|0.929069,0.961906|0.966462|0.970955|0.959041,0.953610|0.958174|0.964549|0.948316
20,35.25,3,2,35.250000,18|22,18.47761194029851,0.9581649421138093,0.9502816299270321,177|24,fixed_cut_calibrated_times,18.78787878787879,0.9521178819807108,0.9513279405025616,0.9439912019855223,0.9343764184429283,0.9157593973866138,True,True,53|13,17|15|11|23,0.951328|0.955338,0.943991|0.948786,0.967301|0.965438|0.934376|0.940694,0.963043|0.959988|0.915759|0.928856
20,35.5,0,2,35.500000,18|24,18.87,0.9533110231861888,0.9503341525349437,171|29,fixed_cut_calibrated_times,18.44776119402985,0.9566310159136058,0.944021368460833,0.932389535071624,0.9327333749514556,0.9198941097132878,True,True,62|5,18|15|22|12,0.957648|0.944021,0.952998|0.932390,0.968696|0.964072|0.954722|0.932733,0.963312|0.957844|0.948153|0.919894
