repeat,fold,方案,测试人数,最低审计概率,安全通过,审计切点
21,3,16/18,66,0.9022306252952195,True,30.286054|31.835205|33.767265
21,3,18/22,66,0.9518462948481663,True,30.286054|31.835205|33.767265
22,0,15/18,67,0.8979090715034287,True,30.127285|31.743951|33.775382
22,0,16/18,67,0.9091756936262835,True,30.127285|31.743951|33.775382
22,0,18/22,67,0.9451838799071366,True,30.127285|31.743951|33.775382
22,1,15/18,67,0.8989088059136371,True,30.001219|31.268509|33.727725
22,1,16/18,67,0.9038739486030195,True,30.001219|31.268509|33.727725
22,1,18/22,67,0.9505039962026608,True,30.001219|31.268509|33.727725
22,2,15/18,67,0.9084879089021884,True,30.041772|31.721771|33.783267
22,2,16/18,67,0.9151975305126153,True,30.041772|31.721771|33.783267
22,2,18/22,67,0.953230945831042,True,30.041772|31.721771|33.783267
22,3,15/18,66,0.8886233682639648,False,30.391088|31.835205|33.777778
22,3,16/18,66,0.8939959218994613,True,30.391088|31.835205|33.777778
22,3,18/22,66,0.9457128562616246,True,30.391088|31.835205|33.777778
23,0,15/18,67,0.8995739607285784,True,30.382886|31.751181|33.783267
23,0,16/18,67,0.9029603231184763,True,30.382886|31.751181|33.783267
23,0,18/22,67,0.9530054297446956,True,30.382886|31.751181|33.783267
23,1,15/18,66,0.8893187641584808,False,30.043262|31.406985|33.767265
23,1,16/18,66,0.8955653978501241,True,30.043262|31.406985|33.767265
23,1,18/22,66,0.945559610083207,True,30.043262|31.406985|33.767265
23,2,15/18,67,0.900161748070872,True,30.257906|31.807165|33.769893
23,2,16/18,67,0.9185575482335092,True,30.257906|31.807165|33.769893
23,2,18/22,67,0.9487539719008296,True,30.257906|31.807165|33.769893
23,3,15/18,67,0.9000908145857061,True,30.065446|31.625814|33.749588
23,3,16/18,67,0.9049573222433348,True,30.065446|31.625814|33.749588
23,3,18/22,67,0.9479384002151795,True,30.065446|31.625814|33.749588
24,0,15/18,67,0.8971856806392026,True,30.100919|31.766323|33.824899
24,0,16/18,67,0.900097378499788,True,30.100919|31.766323|33.824899
24,0,18/22,67,0.9506249413482382,True,30.100919|31.766323|33.824899
24,1,15/18,67,0.9010784702178614,True,30.153098|31.633451|33.783267
24,1,16/18,67,0.9044629389014783,True,30.153098|31.633451|33.783267
24,1,18/22,67,0.9495141326516938,True,30.153098|31.633451|33.783267
24,2,15/18,67,0.910358999744085,True,30.065446|31.405972|33.613808
24,2,16/18,67,0.9185760807469737,True,30.065446|31.405972|33.613808
24,2,18/22,67,0.954889109918625,True,30.065446|31.405972|33.613808
24,3,15/18,66,0.8936108426446463,True,30.286054|31.748841|33.777778
24,3,16/18,66,0.8977435102747671,True,30.286054|31.748841|33.777778
24,3,18/22,66,0.9441890747287648,True,30.286054|31.748841|33.777778
25,0,15/18,67,0.8970136540071753,True,30.117121|31.568438|33.684261
25,0,16/18,67,0.9027067562790881,True,30.117121|31.568438|33.684261
25,0,18/22,67,0.9511064207372918,True,30.117121|31.568438|33.684261
25,1,15/18,66,0.8989862607567234,True,30.023052|31.732941|33.900394
25,1,16/18,66,0.9113559945389522,True,30.023052|31.732941|33.900394
25,1,18/22,66,0.9458503880566494,True,30.023052|31.732941|33.900394
25,2,15/18,67,0.8930666917640346,True,30.389709|31.763983|33.921390
25,2,16/18,67,0.8943674626996859,True,30.389709|31.763983|33.921390
25,2,18/22,67,0.9492311196324017,True,30.389709|31.763983|33.921390
25,3,15/18,67,0.8962429489995669,True,30.016377|31.633451|33.680106
25,3,16/18,67,0.9104511903856538,True,30.016377|31.633451|33.680106
25,3,18/22,67,0.9482963919759442,True,30.016377|31.633451|33.680106
26,0,15/18,67,0.8749189926802785,False,30.100919|31.721771|33.746960
26,0,16/18,67,0.8815797573247142,False,30.100919|31.721771|33.746960
26,0,18/22,67,0.9366218201518142,True,30.100919|31.721771|33.746960
26,1,15/18,67,0.9046365482844217,True,30.153098|31.633451|33.727725
26,1,16/18,67,0.9099721860535381,True,30.153098|31.633451|33.727725
26,1,18/22,67,0.9520619428041227,True,30.153098|31.633451|33.727725
26,2,15/18,67,0.9096609158352782,True,30.416791|31.944741|33.783267
26,2,16/18,67,0.9120558015210064,True,30.416791|31.944741|33.783267
26,2,18/22,67,0.9547373962436401,True,30.416791|31.944741|33.783267
26,3,15/18,66,0.9025781862727617,True,29.893984|31.297604|33.984375
