重复,胜出组数,胜出切点,胜出推荐孕周,胜出平均孕周,胜出最低审计概率,存在安全方案,1组平均孕周,1组安全,2组平均孕周,2组安全,3组平均孕周,3组安全,4组平均孕周,4组安全
281,2,33.026044,14.285714|16.857143,15.133226324237542,0.8910790982567207,True,15.142857142857125,False,15.133226324237542,True,15.062065275548404,True,15.060460139111807,True
282,2,34.315118,14.428571|17.571429,15.02889245585873,0.8943746195474961,True,15.142857142857125,False,15.02889245585873,True,15.01765650080255,True,15.02033172819688,True
283,2,32.137371,14.000000|16.285714,15.027287319422133,0.8914130090223381,True,15.142857142857125,False,15.027287319422133,True,15.011235955056163,True,15.011235955056163,True
284,2,34.315118,14.285714|17.428571,14.886035313001587,0.8988968212536708,True,14.999999999999982,False,14.886035313001587,True,14.886035313001587,True,14.867843766720153,True
285,2,34.412473,14.428571|17.857143,15.173354735152468,0.8959531518031861,True,15.285714285714267,False,15.173354735152468,True,15.173354735152468,True,15.162653825575156,True
286,2,34.297490,14.428571|17.571429,15.111289459604048,0.8913321087218531,True,15.142857142857125,False,15.111289459604048,True,15.09363295880148,True,15.092562867843748,True
287,2,34.533138,14.428571|17.714286,14.93311931514177,0.8925421024605908,True,14.999999999999982,False,14.93311931514177,True,14.912787586944873,True,14.905831995719618,True
288,2,34.646074,14.428571|18.428571,15.162653825575156,0.8905363458346041,True,15.285714285714267,False,15.162653825575156,True,15.12734082397002,True,15.12734082397002,True
289,2,34.533138,14.428571|18.571429,15.219903691813785,0.8925154439817519,True,15.42857142857141,False,15.219903691813785,True,15.217228464419454,True,15.208667736757606,True
290,2,35.676651,14.428571|18.714286,15.00642054574637,0.8900198671328372,True,15.142857142857125,False,15.00642054574637,True,14.968967362225772,True,14.965757089352577,True
291,2,33.758985,14.571429|18.000000,15.637239165329031,0.8922653199795155,True,15.714285714285692,False,15.637239165329031,True,15.568753344034224,True,15.560727661851239,True
292,2,34.721552,14.428571|18.571429,15.064740502942733,0.8938976125218624,True,15.142857142857125,False,15.064740502942733,True,15.030497592295328,True,15.030497592295328,True
