开发可靠性阈值,outer_fold,可求解,组数,切点,推荐孕周,开发平均孕周,开发组最低均值,开发组最低保守下限,开发组人数,求解器,测试平均检测孕周,测试总体达标概率,测试政策组最低均值,测试政策组最低保守下限,测试审计层最低均值,测试审计层最低保守下限,测试均值安全,测试保守下限安全,测试政策组人数,测试审计层人数,测试政策组均值,测试政策组保守下限,测试审计层均值,测试审计层保守下限
0.925,1,True,4,29.754825|31.892205|34.315118,17|16|17|20,17.28,0.9279341609389279,0.9250113642360537,32|73|52|43,ordered_dynamic_programming_global,17.149253731343283,0.9315424992236986,0.9225224484080353,0.9179025022486139,0.9225687430210205,0.9175004023811042,True,True,16|20|21|10,17|17|20|13,0.941257|0.922522|0.930299|0.936650,0.939592|0.917903|0.923989|0.934139,0.940902|0.922569|0.931258|0.931476,0.939232|0.917500|0.925273|0.925145
0.925,2,True,1,,17,17.0,0.9362329251854472,0.931788315962747,200,ordered_dynamic_programming_global,17.0,0.9381238943463764,0.9381238943463764,0.9297418931508844,0.9201165845990513,0.9000350169026263,True,True,67,14|20|10|23,0.938124,0.929742,0.941893|0.948305|0.953902|0.920117,0.930829|0.937527|0.944995|0.900035
0.925,2,True,2,29.478589,17|17,17.0,0.9361629921189432,0.9254691878865363,31|169,ordered_dynamic_programming_global,17.0,0.9381238943463764,0.9379756829971916,0.923951826420413,0.9201165845990513,0.9000350169026263,True,True,8|59,14|20|10|23,0.939217|0.937976,0.923952|0.928650,0.941893|0.948305|0.953902|0.920117,0.930829|0.937527|0.944995|0.900035
0.925,2,True,3,29.478589|31.142862,17|16|17,16.71,0.9314906064704949,0.9250801761129314,31|58|111,ordered_dynamic_programming_global,16.671641791044777,0.9339860767769942,0.9331339066571813,0.9197033268452696,0.9201165845990513,0.9000350169026263,True,True,8|22|37,14|20|10|23,0.939217|0.933517|0.933134,0.923952|0.921627|0.919703,0.936377|0.938304|0.953902|0.920117,0.924634|0.925835|0.944995|0.900035
0.925,2,True,4,29.478589|32.104009|33.686291,17|16|17|18,16.845,0.9304411411955691,0.9252003209264735,31|80|40|49,ordered_dynamic_programming_global,16.880597014925375,0.9368919499416991,0.9289610693487753,0.9098021320925122,0.9320835859769779,0.9142659329765914,True,True,8|29|9|21,14|20|10|23,0.939217|0.936133|0.955777|0.928961,0.923952|0.926823|0.946294|0.909802,0.936377|0.936006|0.950444|0.932084,0.924634|0.923840|0.940993|0.914266
0.925,3,True,1,,17,17.0,0.9361995169181162,0.9314630138261106,201,ordered_dynamic_programming_global,17.0,0.9223305700963697,0.9223305700963697,0.9129452604245684,0.8811497856994216,0.8660712038274829,False,False,66,17|15|11|23,0.922331,0.912945,0.955086|0.952783|0.916287|0.881150,0.949727|0.946149|0.894515|0.866071
0.925,3,True,2,34.268071,16|20,16.676616915422887,0.9300899060332607,0.9257570459427766,167|34,ordered_dynamic_programming_global,17.21212121212121,0.9281373304007127,0.9254409130679164,0.9165920145947372,0.8940543773413118,0.868983654683578,True,False,46|20,17|15|11|23,0.925441|0.934339,0.916592|0.925167,0.939078|0.936273|0.894054|0.931046,0.932455|0.928328|0.868984|0.920209
0.925,3,True,3,29.555954|33.489547,16|16|19,16.761194029850746,0.930382075759225,0.9252531638624535,30|120|51,ordered_dynamic_programming_global,17.045454545454547,0.925303354884578,0.9212612884179632,0.9103998296580637,0.8940543773413118,0.868983654683578,True,False,11|32|23,17|15|11|23,0.942059|0.921261|0.922913,0.932428|0.910400|0.911761,0.939078|0.936273|0.894054|0.922913,0.932455|0.928328|0.868984|0.911761
0.925,3,True,4,29.555954|33.148678|34.720320,16|16|18|20,16.90547263681592,0.931929652471552,0.9264949605226838,30|110|31|30,ordered_dynamic_programming_global,17.272727272727273,0.9302172399894509,0.9188331541925101,0.8986024783226344,0.9116753339014351,0.8932633137139875,True,False,11|28|12|15,17|15|11|23,0.942059|0.930046|0.918833|0.930959,0.932428|0.922469|0.898602|0.921391,0.939078|0.936273|0.911675|0.928587,0.932455|0.928328|0.893263|0.917946
0.95,0,True,1,,19,19.0,0.9548451803863806,0.9515546772309491,200,ordered_dynamic_programming_global,19.0,0.9598200776794458,0.9598200776794458,0.9536911880197355,0.9128021812753427,0.8937957743578857,True,False,67,18|15|22|12,0.959820,0.953691,0.975834|0.971997|0.964061|0.912802,0.971289|0.966697|0.958395|0.893796
0.95,0,True,2,35.365688,18|23,18.75,0.9533225828880332,0.9503282105190944,170|30,ordered_dynamic_programming_global,18.37313432835821,0.9559017550461129,0.9342492728364272,0.9212931718494758,0.9286616684412867,0.916297333007055,True,True,62|5,18|15|22|12,0.957648|0.934249,0.952998|0.921293,0.968696|0.964072|0.954722|0.928662,0.963312|0.957844|0.948153|0.916297
0.95,0,True,3,31.686783|34.055530,17|19|22,18.75,0.9532659348587665,0.9500565876976154,100|50|50,ordered_dynamic_programming_global,18.55223880597015,0.9577206982060325,0.9477793951731112,0.9344839130061543,0.9477793951731112,0.9344839130061543,True,True,33|22|12,18|15|22|12,0.957109|0.964061|0.947779,0.952344|0.958395|0.934484,0.959620|0.954095|0.964061|0.947779,0.953295|0.946838|0.958395|0.934484
0.95,0,True,4,31.686783|33.300511|35.365688,17|19|20|23,18.785,0.9532659348587665,0.9500901664293069,100|33|37|30,ordered_dynamic_programming_global,18.432835820895523,0.9569141063488429,0.9342492728364272,0.9212931718494758,0.9427037877969443,0.9323520243519866,True,True,33|21|8|5,18|15|22|12,0.957109|0.963816|0.952161|0.934249,0.952344|0.957888|0.938209|0.921293,0.959620|0.954095|0.964373|0.942704,0.953295|0.946838|0.958647|0.932352
0.95,1,True,1,,20,20.0,0.9588469879079726,0.9563527604806018,200,ordered_dynamic_programming_global,20.0,0.9613821465236784,0.9613821465236784,0.9586775212436575,0.9399870977894025,0.935499861658991,True,True,67,17|17|20|13,0.961382,0.958678,0.969737|0.966591|0.963760|0.939987,0.968663|0.963602|0.959923|0.935500
0.95,1,True,2,35.170717,19|23,19.6,0.9557456970028765,0.953317735542921,170|30,ordered_dynamic_programming_global,19.47761194029851,0.957322582739457,0.9566464098317318,0.9542099489141563,0.9523119728831576,0.9452047330315895,True,True,59|8,17|17|20|13,0.956646|0.962309,0.954210|0.960370,0.962212|0.958589|0.955347|0.952312,0.960952|0.955143|0.950956|0.945205
0.95,1,True,3,29.840854|32.656938,19|18|21,19.385,0.9526365614869032,0.9500338905068312,37|83|80,ordered_dynamic_programming_global,19.35820895522388,0.955574915534907,0.9465584699653589,0.9425607778660724,0.9488218854694194,0.9448752104939263,True,True,16|26|25,17|17|20|13,0.961915|0.946558|0.960894,0.960679|0.942561|0.956232,0.961714|0.948822|0.959790|0.949893,0.960506|0.944875|0.952504|0.945939
0.95,1,True,4,29.740408|31.405972|34.077928,19|18|19|22,19.42,0.9528183730120582,0.9502431930441524,30|63|58|49,ordered_dynamic_programming_global,19.313432835820894,0.9558557882151946,0.9489242210126526,0.9451994540838807,0.9493197103214477,0.9450917249130449,True,True,15|18|21|13,17|17|20|13,0.962027|0.948924|0.955900|0.958261,0.960720|0.945199|0.951625|0.954795,0.961151|0.949320|0.955347|0.958261,0.959539|0.945092|0.950956|0.954795
0.95,2,True,1,,19,19.0,0.9570699968612025,0.9535576140384596,200,ordered_dynamic_programming_global,19.0,0.958278484942002,0.958278484942002,0.9516457912003096,0.9434428002253891,0.9274115389481246,True,True,67,14|20|10|23,0.958278,0.951646,0.961906|0.966462|0.970955|0.943443,0.953610|0.958174|0.964549|0.927412
0.95,2,True,2,29.752066,19|19,19.0,0.9569313050349151,0.9501008261917684,36|164,ordered_dynamic_programming_global,19.0,0.958278484942002,0.9572389601449911,0.9496469809636681,0.9434428002253891,0.9274115389481246,True,True,10|57,14|20|10|23,0.964204|0.957239,0.953964|0.949647,0.961906|0.966462|0.970955|0.943443,0.953610|0.958174|0.964549|0.927412
0.95,2,True,3,29.752066|32.893105,19|18|20,18.88,0.9540208438303444,0.9501008261917684,36|94|70,ordered_dynamic_programming_global,18.925373134328357,0.9576330981640195,0.9563790414660317,0.9433156268278061,0.9524363092289391,0.938212611186547,True,True,10|31|26,14|20|10|23,0.964204|0.956565|0.956379,0.953964|0.949878|0.943316,0.959041|0.958324|0.966232|0.952436,0.949842|0.948843|0.957035|0.938213
0.95,2,True,4,29.752066|31.736002|34.721552,19|18|19|21,18.985,0.9547248294203365,0.9500847353710445,36|65|68|31,ordered_dynamic_programming_global,19.029850746268657,0.9593189850708154,0.9444594749405636,0.9263512747735692,0.9552939149449629,0.9429336017487254,True,True,10|24|20|13,14|20|10|23,0.964204|0.956293|0.970167|0.944459,0.953964|0.947894|0.962843|0.926351,0.959041|0.958324|0.970955|0.955294,0.949842|0.948843|0.964549|0.942934
0.95,3,True,1,,19,19.0,0.9627885120067634,0.9593448694316198,201,ordered_dynamic_programming_global,19.0,0.9528876524479479,0.9528876524479479,0.9460780616902651,0.9229133324671716,0.9117611977727061,True,True,66,17|15|11|23,0.952888,0.946078,0.976483|0.974998|0.948946|0.922913,0.973160|0.970590|0.933256|0.911761
0.95,3,True,2,32.454460,17|20,18.208955223880597,0.9550867861485224,0.9501749616936168,120|81,ordered_dynamic_programming_global,18.318181818181817,0.946908603549188,0.9412145328960568,0.9327470695282473,0.9386090698577575,0.9282773246200096,True,True,37|29,17|15|11|23,0.951372|0.941215,0.946314|0.932747,0.955086|0.952783|0.943613|0.938609,0.949727|0.946149|0.928277|0.929198
0.95,3,True,3,32.650819|33.731881,17|19|21,18.213930348258707,0.9546179344457281,0.9500246156990252,125|30|46,ordered_dynamic_programming_global,18.575757575757574,0.9501683692763567,0.9377874635348747,0.9144088265332179,0.9362956858853824,0.9200784807642243,True,True,37|6|23,17|15|11|23,0.951372|0.937787|0.951463,0.946314|0.914409|0.943612,0.955086|0.952783|0.936296|0.951463,0.949727|0.946149|0.920078|0.943612
0.95,3,True,4,29.555954|30.956806|33.731881,17|17|18|21,18.27363184079602,0.9548503814342048,0.9500852847225437,30|53|72|46,ordered_dynamic_programming_global,18.651515151515152,0.9509796107051879,0.9459527024086952,0.9324595484645268,0.9343764184429283,0.9157593973866138,True,True,11|15|17|23,17|15|11|23,0.957441|0.951198|0.945953|0.951463,0.949648|0.944413|0.932460|0.943612,0.955086|0.957760|0.934376|0.951463,0.949727|0.950364|0.915759|0.943612
0.975,0,True,1,,23,23.0,0.9807891390504031,0.9789731608027615,200,ordered_dynamic_programming_global,23.0,0.9831691269699706,0.9831691269699706,0.9796578249377194,0.9561683171572319,0.9444768648633092,True,True,67,18|15|22|12,0.983169,0.979658,0.991730|0.990043|0.986205|0.956168,0.989585|0.987459|0.983279|0.944477
0.975,0,True,2,31.568438,20|24,22.06,0.9774258466661612,0.9750656649603693,97|103,ordered_dynamic_programming_global,22.149253731343283,0.9805199495187166,0.9803541041784658,0.9756757098241798,0.9632818795077176,0.9530432755856412,True,True,31|36,18|15|22|12,0.980354|0.980663,0.977315|0.975676,0.981418|0.980469|0.989222|0.963282,0.977612|0.975735|0.986780|0.953043
0.975,0,True,3,31.633451|33.210559,20|22|25,22.06,0.977719270081393,0.9751326748721061,99|31|70,ordered_dynamic_programming_global,21.71641791044776,0.9793022444668518,0.9743980154881583,0.9660151121590818,0.9692990705638707,0.9603671090135837,True,True,32|20|15,18|15|22|12,0.980042|0.981797|0.974398,0.977055|0.978034|0.966015,0.981418|0.978862|0.983328|0.969299,0.977612|0.974282|0.979565|0.960367
0.975,0,True,4,29.401064|30.600653|31.568438,20|20|21|24,22.21,0.9774258466661612,0.9750656649603693,30|37|30|103,ordered_dynamic_programming_global,22.29850746268657,0.9812034457892874,0.9796063898172512,0.9724322197895641,0.9632818795077176,0.9530432755856412,True,True,6|15|10|36,18|15|22|12,0.979606|0.980738|0.984807|0.980663,0.972432|0.976100|0.980365|0.975676,0.981418|0.983522|0.989222|0.963282,0.977612|0.979104|0.986780|0.953043
0.975,1,True,1,,23,23.0,0.9773608937406213,0.9756753162811569,200,ordered_dynamic_programming_global,23.0,0.9793224536682648,0.9793224536682648,0.9775580063264151,0.9653087950271723,0.9622855506323845,True,True,67,17|17|20|13,0.979322,0.977558,0.984736|0.982746|0.980920|0.965309,0.984094|0.980861|0.978445|0.962286
0.975,1,True,2,32.944397,22|25,23.065,0.9776719641498226,0.9751048005504185,129|71,ordered_dynamic_programming_global,22.98507462686567,0.9794415548294714,0.9786131531185197,0.9772061610313786,0.9761891317371278,0.9739203071440076,True,True,45|22,17|17|20|13,0.978613|0.981136,0.977206|0.978437,0.980768|0.978437|0.981282|0.976189,0.980001|0.976228|0.977816|0.973920
0.975,1,True,3,29.979386|31.181721,22|21|24,22.905,0.9769372471908979,0.9750277501165052,45|43|112,ordered_dynamic_programming_global,22.80597014925373,0.9783941425616443,0.9727390578582052,0.9700796113607705,0.9712291744558688,0.9686044341377192,True,True,16|16|35,17|17|20|13,0.980588|0.972739|0.979977,0.979835|0.970080|0.977517,0.980510|0.974378|0.984667|0.971229,0.979792|0.971025|0.982548|0.968604
0.975,1,True,4,29.909289|31.675613|32.944397,22|21|23|25,22.935,0.9765301131125783,0.9750092430072889,43|56|30|71,ordered_dynamic_programming_global,22.880597014925375,0.9788018381595598,0.9734645996624347,0.9709711031297902,0.9731231682251502,0.9705463819403178,True,True,16|18|11|22,17|17|20|13,0.980588|0.973465|0.980270|0.981136,0.979835|0.970971|0.976657|0.978437,0.980510|0.973123|0.983875|0.976189,0.979792|0.970546|0.981184|0.973920
0.975,2,True,1,,23,23.0,0.9807739386964287,0.9786936850421362,200,ordered_dynamic_programming_global,23.0,0.9811623174285984,0.9811623174285984,0.9772181996484599,0.9717501093660131,0.9620362955278006,True,True,67,14|20|10|23,0.981162,0.977218,0.984049|0.986126|0.988842|0.971750,0.979707|0.981537|0.985766|0.962036
0.975,2,True,2,34.720320,22|25,22.48,0.9780695754254974,0.9751877730924051,168|32,ordered_dynamic_programming_global,22.582089552238806,0.9805580543440242,0.9710333903298618,0.9600813669666091,0.9767241638984795,0.9692720734966331,True,True,54|13,14|20|10|23,0.982851|0.971033,0.979937|0.960081,0.980112|0.982671|0.985773|0.976724,0.974968|0.977313|0.982048|0.969272
0.975,2,True,3,30.058052|34.720320,22|22|25,22.48,0.9777491131790687,0.9750143066641999,50|118|32,ordered_dynamic_programming_global,22.582089552238806,0.9805580543440242,0.9710333903298618,0.9600813669666091,0.9767241638984795,0.9692720734966331,True,True,14|40|13,14|20|10|23,0.980112|0.983810|0.971033,0.974968|0.980310|0.960081,0.980112|0.982671|0.985773|0.976724,0.974968|0.977313|0.982048|0.969272
0.975,2,True,4,30.630023|31.675613|33.313403,22|21|23|24,22.625,0.9786840328938382,0.9750079381506275,68|31|46|55,ordered_dynamic_programming_global,22.686567164179106,0.9802244050067882,0.9770971514753399,0.9688436672852075,0.9762628847062503,0.9677624073897868,True,True,23|11|9|24,14|20|10|23,0.980098|0.980821|0.988158|0.977097,0.975281|0.974062|0.984957|0.968844,0.980112|0.980485|0.988971|0.976263,0.974968|0.974876|0.985811|0.967762
0.975,3,True,1,,21,21.0,0.9788499917463148,0.9764518655419439,201,ordered_dynamic_programming_global,21.0,0.9721472956180723,0.9721472956180723,0.9674531128741565,0.9514626613378059,0.9436121789362638,True,True,66,17|15|11|23,0.972147,0.967453,0.988263|0.987352|0.969757|0.951463,0.986336|0.984591|0.959052|0.943612
0.975,3,True,2,31.040776,19|22,20.70149253731343,0.9773919241652015,0.9750634982588245,87|114,ordered_dynamic_programming_global,20.772727272727273,0.9723212880528588,0.9700055675821279,0.9647074866328675,0.9618975500260195,0.9554207280269529,True,True,27|39,17|15|11|23,0.975666|0.970006,0.972494|0.964707,0.976483|0.980186|0.976961|0.961898,0.973160|0.974485|0.968283|0.955421
0.975,3,True,3,31.633451|33.942385,19|21|24,20.64179104477612,0.9773619964815623,0.9751605236936575,99|60|42,ordered_dynamic_programming_global,21.03030303030303,0.9751649851035021,0.9719803492146272,0.9615464086595407,0.9697569036920513,0.9590523637574432,True,True,32|12|22,17|15|11|23,0.975787|0.971980|0.975998,0.973106|0.961546|0.971874,0.976483|0.974998|0.969757|0.976886,0.973160|0.970590|0.959052|0.972684
0.975,3,True,4,31.100000|32.681884|33.942385,19|20|22|24,20.71144278606965,0.9774271530141381,0.9750209350116701,89|38|32|42,ordered_dynamic_programming_global,21.12121212121212,0.975838877326795,0.9744932629411528,0.9617990347397657,0.9711554433971235,0.9619656251206041,True,True,28|9|7|22,17|15|11|23,0.975710|0.976899|0.974493|0.975998,0.972652|0.968527|0.961799|0.971874,0.976483|0.976848|0.971155|0.976945,0.973160|0.972148|0.961966|0.972708
