低BMI周,高BMI周,外层安全折数,患者加权平均孕周,平均最低审计概率,最差折最低审计概率,患者加权总体达标概率,Pareto前沿
15,24,3,16.752808988764045,0.8977231381269096,0.8670286279140509,0.9234298580366275,False
14,19,2,14.97378277153558,0.8740850098882654,0.8345613719071431,0.8961396467856635,True
14,20,2,15.168539325842696,0.8740850098882654,0.8345613719071431,0.8988841017144847,False
14,21,2,15.363295880149813,0.8740850098882654,0.8345613719071431,0.9011941307394334,False
14,22,2,15.558052434456929,0.8740850098882654,0.8345613719071431,0.9031293407104949,False
14,23,2,15.752808988764045,0.8740850098882654,0.8345613719071431,0.9047436002550802,False
14,24,2,15.94756554307116,0.8740850098882654,0.8345613719071431,0.9060849306694269,False
16,17,2,16.194756554307116,0.8909180062153482,0.8767134902910204,0.9206114617169301,False
17,17,2,17.0,0.894591634644035,0.8786838173459796,0.9321268746096224,False
14,16,1,14.389513108614231,0.8618832722645977,0.8345613719071431,0.8846292309420465,True
14,17,1,14.584269662921349,0.8692740932618137,0.8345613719071431,0.8890832545176687,False
14,18,1,14.779026217228465,0.8734687438926481,0.8345613719071431,0.8928958488583433,False
15,16,1,15.194756554307116,0.8696104329960475,0.8494807646333089,0.9019741583092471,False
15,17,1,15.389513108614231,0.8850477465268868,0.8670286279140509,0.9064281818848694,False
16,16,1,16.0,0.8740705002756328,0.8541218265924072,0.9161574381413079,False
13,15,0,13.389513108614231,0.8342646663004495,0.7960507511044175,0.8584150089770277,True
13,16,0,13.584269662921349,0.8416511851786985,0.7960507511044175,0.8635844537671999,False
13,17,0,13.779026217228465,0.8458393543347911,0.7960507511044175,0.8680384773428224,False
13,18,0,13.97378277153558,0.8458393543347911,0.7960507511044175,0.8718510716834968,False
13,19,0,14.168539325842696,0.8458393543347911,0.7960507511044175,0.8750948696108171,False
14,15,0,14.194756554307116,0.8447137736860979,0.816818494725384,0.8794597861518743,False
13,20,0,14.363295880149813,0.8458393543347911,0.7960507511044175,0.8778393245396382,False
13,21,0,14.558052434456929,0.8458393543347911,0.7960507511044175,0.8801493535645869,False
13,22,0,14.752808988764045,0.8458393543347911,0.7960507511044175,0.8820845635356483,False
13,23,0,14.94756554307116,0.8458393543347911,0.7960507511044175,0.8836988230802337,False
15,15,0,15.0,0.8500991484785286,0.8223707436954745,0.8968047135190749,False
13,24,0,15.142322097378278,0.8458393543347911,0.7960507511044175,0.8850401534945804,False
