outer_fold,低BMI周,高BMI周,测试人数,低BMI人数,高BMI人数,平均孕周,总体达标概率,最低审计概率,最低审计层,审计层1,审计层2,审计层3,审计层4,安全通过,审计切点
0,15,15,67,57,10,15.0,0.9066871839462696,0.8329717289346673,4,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.8329717289346673,False,30.153098|31.686783|34.040136
1,15,15,67,57,10,15.0,0.8959559301902033,0.857650895280118,4,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.857650895280118,False,30.127285|31.724831|33.994467
2,15,15,67,54,13,15.0,0.9086414924891795,0.887403226003855,4,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.887403226003855,False,30.065446|31.721771|33.538981
3,15,15,66,47,19,15.0,0.8756180282677924,0.8223707436954745,4,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.8223707436954745,False,30.129913|31.640625|33.516868
0,15,16,67,57,10,15.149253731343284,0.9106289895236532,0.854980143408393,4,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.854980143408393,False,30.153098|31.686783|34.040136
1,15,16,67,57,10,15.149253731343284,0.899306900558146,0.8749212810225926,4,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.8749212810225926,False,30.127285|31.724831|33.994467
2,15,16,67,54,13,15.194029850746269,0.9126429147140888,0.8990595429198952,4,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.8990595429198952,True,30.065446|31.721771|33.538981
3,15,16,66,47,19,15.287878787878787,0.8850654598067346,0.8494807646333089,4,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.8494807646333089,False,30.129913|31.640625|33.516868
0,15,17,67,57,10,15.298507462686567,0.9140784384180694,0.8742395664022155,4,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.8742395664022155,False,30.153098|31.686783|34.040136
1,15,17,67,57,10,15.298507462686567,0.9021958614309789,0.889810540905654,4,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.889810540905654,False,30.127285|31.724831|33.994467
2,15,17,67,54,13,15.388059701492537,0.9160938443142653,0.909112250885627,4,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.909112250885627,True,30.065446|31.721771|33.538981
3,15,17,66,47,19,15.575757575757576,0.8931463470351234,0.8670286279140509,3,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.8726693975495551,False,30.129913|31.640625|33.516868
0,15,18,67,57,10,15.447761194029852,0.91708356125807,0.8910181689255531,4,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.8910181689255531,True,30.153098|31.686783|34.040136
1,15,18,67,57,10,15.447761194029852,0.9046769229382635,0.9000324660202936,3,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.9025975502124286,True,30.127285|31.724831|33.994467
