组数,切点,BIC
4,29.537|30.469|31.196,470.47944697443955
2,30.934,471.317379142507
3,29.537|30.934,476.7627780661484
3,30.125|30.934,476.8959412309487
3,29.843|30.934,476.90303899276336
2,30.648,478.17423515388435
2,30.469,482.076708145037
3,29.537|30.648,483.66051117499165
3,29.843|30.648,483.7425736132909
2,30.125,486.11230451341265
3,29.537|30.469,487.4291482014915
2,29.843,490.0121079599173
2,29.537,495.20418023842
