重复,多因素减仅BMI_区间负对数评分
334,-0.009506410962777592
335,-0.003976771151384721
336,0.014984538933690766
337,-0.007100358020522974
338,-0.014460520618588928
339,0.01831511944612818
340,-0.005126608036974609
341,-0.01636699244403999
342,-0.017842138998508415
343,0.022429689230118677
344,0.008977612399930467
345,0.013079223297903128
346,0.004987152742705937
347,0.009495478080973943
348,-0.013679679785669651
349,-0.0006521279296098794
350,0.0014568696652468764
351,-0.010219288042201543
352,0.0019207455933609888
353,0.010889077187999242
354,-0.0026629401841162977
355,-0.004678128800656446
356,-0.008213043563807587
357,0.0025187839718436304
358,-0.016460952667709982
359,-0.005045300503874669
360,0.0004696067507862335
361,-0.006807145301061446
362,0.0009072007889771606
363,-0.010949551606754761
364,0.008353031315841601
365,-0.0038988735920136197
366,-0.004887694120402746
367,-0.0023650302146613613
368,0.024380322499298595
369,0.0479972157841706
370,0.0051989326692824895
371,0.017341651570087845
372,0.0014148906264842848
373,0.003581742314308183
374,-0.0008107189443299343
375,-0.002960891344648427
376,-0.012655107026057183
377,0.005826040541197975
378,0.0180077083689912
379,0.0017534657213246225
380,0.01799855092415191
381,-0.016788938129011704
382,0.03018829437097535
383,0.004495084443128429
384,0.011644563796015858
385,0.018266490537740952
386,-0.005634746372538119
387,0.02145857972736959
388,0.0018444312133466896
389,-0.0005650189841763274
390,4.002168297467094e-05
391,-0.010925853340945705
392,-0.029851663004939678
393,0.03017338599756869
394,0.02879752044614122
395,-0.001086672551924091
396,-0.009832093981158184
397,-0.0022100497984549957
398,0.006502404461618059
399,0.007127318030140981
400,0.00952173299831245
401,0.006874778906202077
402,0.018456605224488134
403,-0.01459845198292086
404,0.010954857718706081
405,-0.019476657204937745
406,-0.017499945266472212
407,0.023442676153111897
408,-0.0055174083474986875
409,-0.013341447507784125
410,0.007638343588940803
411,-0.0006399108558635728
412,0.01962732372950143
413,0.038561720004727476
414,-0.012025805957409605
415,-0.013567247860581298
416,-0.01077623923611184
417,0.0066392557912456135
418,-0.008667296170818151
419,0.01827943738281545
420,0.0035381292840564295
421,-0.002317269832385111
422,0.01138993043318949
423,0.014329417736069156
424,0.007196954657873734
425,-0.019065408617764238
426,0.02269940718199728
427,-0.0035245696737051745
428,-0.003894701429452131
429,0.009960390616434915
430,0.009290881601383586
431,0.010423332170942738
432,-0.014834907048831834
433,0.0005822966361794078
434,0.017006456176807298
435,-0.010385934426497614
436,0.003521854423362454
437,0.004101773437422485
438,0.011632129567215209
439,0.023037753887797236
440,-0.007136607055687389
441,0.0028816778049536762
442,0.012789896773303938
443,0.007763453786889743
444,-0.0033572826800907004
445,0.013318811991587375
446,-0.007311140382852935
447,0.00512404010628706
448,0.0036896159031304626
449,0.012884500958510391
450,0.010017533134222796
451,-0.007581749004399332
452,-0.0005555057807101969
453,-0.005083728657042418
454,-0.001950148810458219
455,0.007568741432196037
456,0.0018761749164238582
457,0.007988512718847039
458,0.007771546166856542
459,0.01700707547437678
460,0.0016489293576598559
461,0.01309399587236345
462,0.00797742940154752
463,0.010020084346345725
464,-0.02249689695177767
465,-0.007990872189731903
466,0.002058132489547327
467,0.02505534219044899
468,-0.006582554017558675
469,0.03417548647099157
470,0.004985275808622556
